date	value
1959-09-01	
1959-12-01	
1960-03-01	
1960-06-01	
1960-09-01	
1960-12-01	
1961-03-01	
1961-06-01	
1961-09-01	
1961-12-01	
1962-03-01	
1962-06-01	
1962-09-01	
1962-12-01	
1963-03-01	
1963-06-01	
1963-09-01	
1963-12-01	
1964-03-01	
1964-06-01	
1964-09-01	
1964-12-01	
1965-03-01	
1965-06-01	
1965-09-01	
1965-12-01	
1966-03-01	
1966-06-01	
1966-09-01	
1966-12-01	
1967-03-01	
1967-06-01	
1967-09-01	
1967-12-01	
1968-03-01	
1968-06-01	
1968-09-01	
1968-12-01	
1969-03-01	
1969-06-01	
1969-09-01	
1969-12-01	
1970-03-01	
1970-06-01	
1970-09-01	
1970-12-01	
1971-03-01	
1971-06-01	
1971-09-01	
1971-12-01	
1972-03-01	
1972-06-01	
1972-09-01	
1972-12-01	
1973-03-01	
1973-06-01	
1973-09-01	
1973-12-01	
1974-03-01	
1974-06-01	
1974-09-01	
1974-12-01	
1975-03-01	
1975-06-01	
1975-09-01	
1975-12-01	
1976-03-01	
1976-06-01	
1976-09-01	
1976-12-01	
1977-03-01	
1977-06-01	
1977-09-01	
1977-12-01	
1978-03-01	
1978-06-01	
1978-09-01	
1978-12-01	
1979-03-01	
1979-06-01	
1979-09-01	
1979-12-01	
1980-03-01	
1980-06-01	
1980-09-01	
1980-12-01	
1981-03-01	
1981-06-01	
1981-09-01	
1981-12-01	
1982-03-01	
1982-06-01	
1982-09-01	
1982-12-01	
1983-03-01	
1983-06-01	
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	48516
1985-12-01	52119
1986-03-01	47130
1986-06-01	50976
1986-09-01	52688
1986-12-01	57622
1987-03-01	52359
1987-06-01	56755
1987-09-01	58842
1987-12-01	64515
1988-03-01	60265
1988-06-01	64876
1988-09-01	66978
1988-12-01	73622
1989-03-01	69188
1989-06-01	74301
1989-09-01	76217
1989-12-01	80661
1990-03-01	74133
1990-06-01	77285
1990-09-01	78678
1990-12-01	82804
1991-03-01	74411
1991-06-01	77253
1991-09-01	79013
1991-12-01	83501
1992-03-01	76960
1992-06-01	80221
1992-09-01	81822
1992-12-01	89410
1993-03-01	80658
1993-06-01	84965
1993-09-01	86421
1993-12-01	92915
1994-03-01	85707
1994-06-01	90481
1994-09-01	93966
1994-12-01	100434
1995-03-01	91296
1995-06-01	97809
1995-09-01	99169
1995-12-01	105704
1996-03-01	97088
1996-06-01	103127
1996-09-01	103846
1996-12-01	110702
1997-03-01	101323
1997-06-01	109475
1997-09-01	111776
1997-12-01	120386
1998-03-01	112872
1998-06-01	117103
1998-09-01	120143
1998-12-01	127203
1999-03-01	117865
1999-06-01	123707
1999-09-01	127691
1999-12-01	135542
2000-03-01	128866
2000-06-01	134205
2000-09-01	137623
2000-12-01	140488
2001-03-01	132141
2001-06-01	137980
2001-09-01	142213
2001-12-01	152001
2002-03-01	142317
2002-06-01	151475
2002-09-01	157275
2002-12-01	168688
2003-03-01	155496
2003-06-01	162383
2003-09-01	168357
2003-12-01	181755
2004-03-01	168648
2004-06-01	176513
2004-09-01	180873
2004-12-01	194358
2005-03-01	176366
2005-06-01	189885
2005-09-01	194299
2005-12-01	207589
2006-03-01	190932
2006-06-01	204208
2006-09-01	208079
2006-12-01	222135
2007-03-01	209265
2007-06-01	223550
2007-09-01	229290
2007-12-01	244147
2008-03-01	225672
2008-06-01	240867
2008-09-01	241480
2008-12-01	253719
2009-03-01	229276
2009-06-01	245695
2009-09-01	244731
2009-12-01	262258
2010-03-01	238163
2010-06-01	256101
2010-09-01	260358
2010-12-01	274425
2011-03-01	255957
2011-06-01	273802
2011-09-01	283081
2011-12-01	293304
2012-03-01	275627
2012-06-01	295487
2012-09-01	300390
2012-12-01	309605
2013-03-01	285353
2013-06-01	305891
2013-09-01	309861
2013-12-01	321925
2014-03-01	297612
2014-06-01	314687
2014-09-01	317514
2014-12-01	332480
2015-03-01	305719
2015-06-01	321614
2015-09-01	325869
2015-12-01	339054
2016-03-01	309964
2016-06-01	325943
2016-09-01	328008
2016-12-01	344473
2017-03-01	317669
2017-06-01	334986
2017-09-01	342870
2017-12-01	359311
2018-03-01	332886
2018-06-01	353057
2018-09-01	354490
2018-12-01	369189
2019-03-01	338343
2019-06-01	356869
2019-09-01	359362
2019-12-01	375619
2020-03-01	341090
2020-06-01	319174
2020-09-01	337524
2020-12-01	368746
2021-03-01	347258
2021-06-01	372931
2021-09-01	362108
2021-12-01	399848
2022-03-01	377668
2022-06-01	409703
