date	value
1959-09-01	
1959-12-01	
1960-03-01	
1960-06-01	
1960-09-01	
1960-12-01	
1961-03-01	
1961-06-01	
1961-09-01	
1961-12-01	
1962-03-01	
1962-06-01	
1962-09-01	
1962-12-01	
1963-03-01	
1963-06-01	
1963-09-01	
1963-12-01	
1964-03-01	
1964-06-01	
1964-09-01	
1964-12-01	
1965-03-01	
1965-06-01	
1965-09-01	
1965-12-01	
1966-03-01	
1966-06-01	
1966-09-01	
1966-12-01	
1967-03-01	
1967-06-01	
1967-09-01	
1967-12-01	
1968-03-01	
1968-06-01	
1968-09-01	
1968-12-01	
1969-03-01	
1969-06-01	
1969-09-01	
1969-12-01	
1970-03-01	
1970-06-01	
1970-09-01	
1970-12-01	
1971-03-01	
1971-06-01	
1971-09-01	
1971-12-01	
1972-03-01	
1972-06-01	
1972-09-01	
1972-12-01	
1973-03-01	
1973-06-01	
1973-09-01	
1973-12-01	
1974-03-01	
1974-06-01	
1974-09-01	
1974-12-01	
1975-03-01	
1975-06-01	
1975-09-01	
1975-12-01	
1976-03-01	
1976-06-01	
1976-09-01	
1976-12-01	
1977-03-01	
1977-06-01	
1977-09-01	
1977-12-01	
1978-03-01	
1978-06-01	
1978-09-01	
1978-12-01	
1979-03-01	
1979-06-01	
1979-09-01	
1979-12-01	
1980-03-01	
1980-06-01	
1980-09-01	
1980-12-01	
1981-03-01	
1981-06-01	
1981-09-01	
1981-12-01	
1982-03-01	
1982-06-01	
1982-09-01	
1982-12-01	
1983-03-01	
1983-06-01	
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	47962
1985-12-01	48959
1986-03-01	49861
1986-06-01	50937
1986-09-01	52176
1986-12-01	53474
1987-03-01	54917
1987-06-01	56709
1987-09-01	58729
1987-12-01	60824
1988-03-01	62945
1988-06-01	65058
1988-09-01	67254
1988-12-01	69748
1989-03-01	72294
1989-06-01	74331
1989-09-01	75649
1989-12-01	76501
1990-03-01	77199
1990-06-01	77799
1990-09-01	78060
1990-12-01	77950
1991-03-01	77786
1991-06-01	77789
1991-09-01	78236
1991-12-01	79074
1992-03-01	79790
1992-06-01	80728
1992-09-01	81984
1992-12-01	83393
1993-03-01	84516
1993-06-01	85206
1993-09-01	86075
1993-12-01	87547
1994-03-01	89294
1994-06-01	91229
1994-09-01	92931
1994-12-01	94534
1995-03-01	96075
1995-06-01	97410
1995-09-01	98695
1995-12-01	100068
1996-03-01	101443
1996-06-01	102617
1996-09-01	103390
1996-12-01	104504
1997-03-01	106467
1997-06-01	108747
1997-09-01	111417
1997-12-01	114163
1998-03-01	116445
1998-06-01	118052
1998-09-01	119133
1998-12-01	120470
1999-03-01	122341
1999-06-01	124166
1999-09-01	126486
1999-12-01	129100
2000-03-01	131854
2000-06-01	133676
2000-09-01	134372
2000-12-01	134889
2001-03-01	136191
2001-06-01	138327
2001-09-01	141024
2001-12-01	143954
2002-03-01	147641
2002-06-01	151731
2002-09-01	155767
2002-12-01	158962
2003-03-01	161216
2003-06-01	163547
2003-09-01	167004
2003-12-01	171204
2004-03-01	174657
2004-06-01	177297
2004-09-01	179615
2004-12-01	182248
2005-03-01	185336
2005-06-01	188829
2005-09-01	192454
2005-12-01	196074
2006-03-01	199408
2006-06-01	202700
2006-09-01	206500
2006-12-01	211307
2007-03-01	216965
2007-06-01	222599
2007-09-01	227600
2007-12-01	231895
2008-03-01	235481
2008-06-01	237926
2008-09-01	239030
2008-12-01	239533
2009-03-01	240073
2009-06-01	241140
2009-09-01	243078
2009-12-01	245798
2010-03-01	249176
2010-06-01	252902
2010-09-01	256777
2010-12-01	261045
2011-03-01	266428
2011-06-01	271800
2011-09-01	276492
2011-12-01	281228
2012-03-01	286941
2012-06-01	291929
2012-09-01	294582
2012-12-01	295615
2013-03-01	298079
2013-06-01	301539
2013-09-01	304681
2013-12-01	307018
2014-03-01	309223
2014-06-01	311455
2014-09-01	313483
2014-12-01	315373
2015-03-01	317473
2015-06-01	319377
2015-09-01	320816
2015-12-01	321679
2016-03-01	321795
2016-06-01	321984
2016-09-01	323443
2016-12-01	325724
2017-03-01	328764
2017-06-01	332398
2017-09-01	336823
2017-12-01	341521
2018-03-01	345486
2018-06-01	348203
2018-09-01	350056
2018-12-01	350885
2019-03-01	351586
2019-06-01	
2019-09-01	
2019-12-01	
2020-03-01	
2020-06-01	
2020-09-01	
2020-12-01	
2021-03-01	
2021-06-01	
2021-09-01	
2021-12-01	
2022-03-01	
2022-06-01	
2022-09-01	
2022-12-01	
2023-03-01	
2023-06-01	
2023-09-01	
