date	value
1959-09-01	
1959-12-01	
1960-03-01	
1960-06-01	
1960-09-01	
1960-12-01	
1961-03-01	
1961-06-01	
1961-09-01	
1961-12-01	
1962-03-01	
1962-06-01	
1962-09-01	
1962-12-01	
1963-03-01	
1963-06-01	
1963-09-01	
1963-12-01	
1964-03-01	
1964-06-01	
1964-09-01	
1964-12-01	
1965-03-01	
1965-06-01	
1965-09-01	
1965-12-01	
1966-03-01	
1966-06-01	
1966-09-01	
1966-12-01	
1967-03-01	
1967-06-01	
1967-09-01	
1967-12-01	
1968-03-01	
1968-06-01	
1968-09-01	
1968-12-01	
1969-03-01	
1969-06-01	
1969-09-01	
1969-12-01	
1970-03-01	
1970-06-01	
1970-09-01	
1970-12-01	
1971-03-01	
1971-06-01	
1971-09-01	
1971-12-01	
1972-03-01	
1972-06-01	
1972-09-01	
1972-12-01	
1973-03-01	
1973-06-01	
1973-09-01	
1973-12-01	
1974-03-01	
1974-06-01	
1974-09-01	
1974-12-01	
1975-03-01	
1975-06-01	
1975-09-01	
1975-12-01	
1976-03-01	
1976-06-01	
1976-09-01	
1976-12-01	
1977-03-01	
1977-06-01	
1977-09-01	
1977-12-01	
1978-03-01	
1978-06-01	
1978-09-01	
1978-12-01	
1979-03-01	
1979-06-01	
1979-09-01	
1979-12-01	
1980-03-01	
1980-06-01	
1980-09-01	
1980-12-01	
1981-03-01	
1981-06-01	
1981-09-01	
1981-12-01	
1982-03-01	
1982-06-01	
1982-09-01	
1982-12-01	
1983-03-01	
1983-06-01	
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	17813
1985-12-01	18412
1986-03-01	19010
1986-06-01	19689
1986-09-01	20437
1986-12-01	21110
1987-03-01	21701
1987-06-01	22287
1987-09-01	22950
1987-12-01	23634
1988-03-01	24346
1988-06-01	25056
1988-09-01	25863
1988-12-01	26776
1989-03-01	27727
1989-06-01	28608
1989-09-01	29372
1989-12-01	30077
1990-03-01	30837
1990-06-01	31571
1990-09-01	32281
1990-12-01	32920
1991-03-01	33482
1991-06-01	34021
1991-09-01	34494
1991-12-01	34918
1992-03-01	35275
1992-06-01	35538
1992-09-01	35822
1992-12-01	36100
1993-03-01	36388
1993-06-01	36762
1993-09-01	37149
1993-12-01	37533
1994-03-01	38012
1994-06-01	38597
1994-09-01	39228
1994-12-01	39846
1995-03-01	40506
1995-06-01	41303
1995-09-01	42180
1995-12-01	42991
1996-03-01	43620
1996-06-01	44067
1996-09-01	44458
1996-12-01	44972
1997-03-01	45738
1997-06-01	46691
1997-09-01	47632
1997-12-01	48489
1998-03-01	49359
1998-06-01	50353
1998-09-01	51432
1998-12-01	52491
1999-03-01	53419
1999-06-01	54338
1999-09-01	55353
1999-12-01	56440
2000-03-01	57280
2000-06-01	58176
2000-09-01	59882
2000-12-01	60975
2001-03-01	61882
2001-06-01	62813
2001-09-01	63695
2001-12-01	64538
2002-03-01	65643
2002-06-01	66945
2002-09-01	68301
2002-12-01	69428
2003-03-01	70202
2003-06-01	70989
2003-09-01	72265
2003-12-01	73943
2004-03-01	75584
2004-06-01	76830
2004-09-01	77715
2004-12-01	78738
2005-03-01	80151
2005-06-01	81700
2005-09-01	83254
2005-12-01	84875
2006-03-01	86572
2006-06-01	88401
2006-09-01	90201
2006-12-01	92133
2007-03-01	94288
2007-06-01	96486
2007-09-01	98557
2007-12-01	100273
2008-03-01	101452
2008-06-01	102098
2008-09-01	102337
2008-12-01	102853
2009-03-01	104233
2009-06-01	106606
2009-09-01	109470
2009-12-01	111952
2010-03-01	113703
2010-06-01	115665
2010-09-01	117075
2010-12-01	118597
2011-03-01	120783
2011-06-01	122224
2011-09-01	123759
2011-12-01	125292
2012-03-01	126625
2012-06-01	128457
2012-09-01	129762
2012-12-01	131162
2013-03-01	132701
2013-06-01	134138
2013-09-01	135695
2013-12-01	137380
2014-03-01	139072
2014-06-01	140765
2014-09-01	142548
2014-12-01	144241
2015-03-01	145795
2015-06-01	147167
2015-09-01	148402
2015-12-01	149606
2016-03-01	150959
2016-06-01	152544
2016-09-01	154174
2016-12-01	155584
2017-03-01	156776
2017-06-01	158180
2017-09-01	159927
2017-12-01	161796
2018-03-01	163465
2018-06-01	164876
2018-09-01	166082
2018-12-01	167347
2019-03-01	168630
2019-06-01	
2019-09-01	
2019-12-01	
2020-03-01	
2020-06-01	
2020-09-01	
2020-12-01	
2021-03-01	
2021-06-01	
2021-09-01	
2021-12-01	
2022-03-01	
