date	value
2017-09-01	100
2017-10-01	100
2017-11-01	100
2017-12-01	99.5
2018-01-01	99.5
2018-02-01	99.5
2018-03-01	101.6
2018-04-01	104.1
2018-05-01	104.1
2018-06-01	103.6
2018-07-01	103.6
2018-08-01	103.6
2018-09-01	103.1
2018-10-01	103.1
2018-11-01	103.1
2018-12-01	102.8
2019-01-01	102.8
2019-02-01	102.8
2019-03-01	104.7
2019-04-01	107
2019-05-01	107
2019-06-01	106.6
2019-07-01	106.6
2019-08-01	106.6
2019-09-01	106.4
2019-10-01	106.4
2019-11-01	106.4
2019-12-01	106.1
2020-01-01	106.1
2020-02-01	106.1
2020-03-01	107.9
2020-04-01	108.3
2020-05-01	108.3
2020-06-01	107.7
2020-07-01	107.7
2020-08-01	107.7
2020-09-01	107.4
2020-10-01	109.4
2020-11-01	109.4
2020-12-01	108.9
2021-01-01	108.9
2021-02-01	108.9
2021-03-01	111.1
2021-04-01	113.4
2021-05-01	113.4
2021-06-01	112.8
2021-07-01	112.8
2021-08-01	112.8
2021-09-01	112.7
2021-10-01	112.9
2021-11-01	112.9
2021-12-01	112.5
2022-01-01	112.5
2022-02-01	112.5
2022-03-01	115
2022-04-01	115.8
2022-05-01	115.8
2022-06-01	115.5
2022-07-01	115.5
2022-08-01	115.5
2022-09-01	115.8
2022-10-01	115.8
2022-11-01	117
2022-12-01	117.2
2023-01-01	118.1
2023-02-01	118.1
2023-03-01	121.2
2023-04-01	121.3
2023-05-01	121.3
2023-06-01	121.5
2023-07-01	121.5
2023-08-01	121.5
2023-09-01	122.1
2023-10-01	123.1
2023-11-01	123.1
2023-12-01	122.7
2024-01-01	122.7
2024-02-01	122.7
2024-03-01	126.2
