date	value
2017-09-01	100
2017-10-01	98.9
2017-11-01	99.1
2017-12-01	99.4
2018-01-01	98.7
2018-02-01	98.5
2018-03-01	99
2018-04-01	99.2
2018-05-01	99.2
2018-06-01	99.3
2018-07-01	99.8
2018-08-01	99.9
2018-09-01	98.1
2018-10-01	98.2
2018-11-01	98.5
2018-12-01	98.7
2019-01-01	97.9
2019-02-01	98.2
2019-03-01	98.4
2019-04-01	99.2
2019-05-01	99
2019-06-01	98.9
2019-07-01	99.8
2019-08-01	99.7
2019-09-01	99.9
2019-10-01	99.4
2019-11-01	99.9
2019-12-01	100
2020-01-01	99.7
2020-02-01	99.9
2020-03-01	101.8
2020-04-01	90.6
2020-05-01	88.6
2020-06-01	87.6
2020-07-01	100.4
2020-08-01	100.1
2020-09-01	100
2020-10-01	103.6
2020-11-01	103.7
2020-12-01	103.8
2021-01-01	102.9
2021-02-01	103.3
2021-03-01	103.7
2021-04-01	104.5
2021-05-01	104.5
2021-06-01	104.6
2021-07-01	105.7
2021-08-01	106
2021-09-01	106.5
2021-10-01	106.6
2021-11-01	107.1
2021-12-01	107.7
2022-01-01	107.7
2022-02-01	108.6
2022-03-01	108.3
2022-04-01	110.8
2022-05-01	111.5
2022-06-01	111.3
2022-07-01	113.6
2022-08-01	114.3
2022-09-01	114.7
2022-10-01	114.9
2022-11-01	116.1
2022-12-01	116.9
2023-01-01	115
2023-02-01	115.8
2023-03-01	116.1
2023-04-01	117.8
2023-05-01	118.2
2023-06-01	118.3
2023-07-01	118.5
2023-08-01	118.9
2023-09-01	117.3
2023-10-01	115.4
2023-11-01	115.7
2023-12-01	116.6
2024-01-01	115.3
2024-02-01	115.5
