date	value
1959-09-01	
1959-12-01	
1960-03-01	
1960-06-01	
1960-09-01	
1960-12-01	
1961-03-01	
1961-06-01	
1961-09-01	
1961-12-01	
1962-03-01	
1962-06-01	
1962-09-01	
1962-12-01	
1963-03-01	
1963-06-01	
1963-09-01	
1963-12-01	
1964-03-01	
1964-06-01	
1964-09-01	
1964-12-01	
1965-03-01	
1965-06-01	
1965-09-01	
1965-12-01	
1966-03-01	
1966-06-01	
1966-09-01	
1966-12-01	
1967-03-01	
1967-06-01	
1967-09-01	
1967-12-01	
1968-03-01	
1968-06-01	
1968-09-01	
1968-12-01	
1969-03-01	
1969-06-01	
1969-09-01	
1969-12-01	
1970-03-01	
1970-06-01	
1970-09-01	
1970-12-01	
1971-03-01	
1971-06-01	
1971-09-01	
1971-12-01	
1972-03-01	
1972-06-01	
1972-09-01	
1972-12-01	
1973-03-01	
1973-06-01	
1973-09-01	
1973-12-01	
1974-03-01	
1974-06-01	
1974-09-01	
1974-12-01	
1975-03-01	
1975-06-01	
1975-09-01	
1975-12-01	
1976-03-01	
1976-06-01	
1976-09-01	
1976-12-01	
1977-03-01	
1977-06-01	
1977-09-01	
1977-12-01	
1978-03-01	
1978-06-01	
1978-09-01	
1978-12-01	
1979-03-01	
1979-06-01	
1979-09-01	
1979-12-01	
1980-03-01	
1980-06-01	
1980-09-01	
1980-12-01	
1981-03-01	
1981-06-01	
1981-09-01	
1981-12-01	
1982-03-01	
1982-06-01	
1982-09-01	
1982-12-01	
1983-03-01	
1983-06-01	
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	16359
1985-12-01	18164
1986-03-01	16426
1986-06-01	19958
1986-09-01	18241
1986-12-01	19841
1987-03-01	17648
1987-06-01	21422
1987-09-01	18814
1987-12-01	20769
1988-03-01	18732
1988-06-01	21243
1988-09-01	19903
1988-12-01	21139
1989-03-01	20142
1989-06-01	24623
1989-09-01	22329
1989-12-01	23942
1990-03-01	23172
1990-06-01	26652
1990-09-01	24757
1990-12-01	25538
1991-03-01	24351
1991-06-01	26803
1991-09-01	26652
1991-12-01	27058
1992-03-01	24919
1992-06-01	27829
1992-09-01	27384
1992-12-01	26833
1993-03-01	26265
1993-06-01	29238
1993-09-01	26769
1993-12-01	27580
1994-03-01	26286
1994-06-01	29978
1994-09-01	29882
1994-12-01	28729
1995-03-01	27903
1995-06-01	30766
1995-09-01	29438
1995-12-01	30238
1996-03-01	28836
1996-06-01	34044
1996-09-01	29392
1996-12-01	31135
1997-03-01	30242
1997-06-01	34054
1997-09-01	31455
1997-12-01	34257
1998-03-01	28432
1998-06-01	34868
1998-09-01	33982
1998-12-01	36595
1999-03-01	33595
1999-06-01	38208
1999-09-01	34991
1999-12-01	37190
2000-03-01	34581
2000-06-01	40856
2000-09-01	37050
2000-12-01	38869
2001-03-01	37831
2001-06-01	42446
2001-09-01	39478
2001-12-01	41281
2002-03-01	40624
2002-06-01	45295
2002-09-01	41449
2002-12-01	44073
2003-03-01	42823
2003-06-01	47974
2003-09-01	43418
2003-12-01	47025
2004-03-01	44663
2004-06-01	52449
2004-09-01	47318
2004-12-01	51004
2005-03-01	48343
2005-06-01	57395
2005-09-01	51984
2005-12-01	56143
2006-03-01	52897
2006-06-01	61728
2006-09-01	57182
2006-12-01	60691
2007-03-01	56301
2007-06-01	67217
2007-09-01	60152
2007-12-01	66002
2008-03-01	62627
2008-06-01	75274
2008-09-01	68954
2008-12-01	73520
2009-03-01	68064
2009-06-01	79216
2009-09-01	72746
2009-12-01	78843
2010-03-01	75921
2010-06-01	89364
2010-09-01	77928
2010-12-01	83836
2011-03-01	78588
2011-06-01	92121
2011-09-01	81590
2011-12-01	89868
2012-03-01	80143
2012-06-01	98624
2012-09-01	84143
2012-12-01	93221
2013-03-01	83582
2013-06-01	93863
2013-09-01	85885
2013-12-01	93224
2014-03-01	84241
2014-06-01	97952
2014-09-01	86938
2014-12-01	92272
2015-03-01	86160
2015-06-01	103736
2015-09-01	91091
2015-12-01	97820
2016-03-01	92765
2016-06-01	111930
2016-09-01	98081
2016-12-01	105969
2017-03-01	98941
2017-06-01	120337
2017-09-01	102989
2017-12-01	112483
2018-03-01	104851
2018-06-01	124794
2018-09-01	111695
2018-12-01	120320
2019-03-01	111700
2019-06-01	135836
2019-09-01	121026
2019-12-01	129654
2020-03-01	120675
2020-06-01	144093
2020-09-01	129618
2020-12-01	138211
2021-03-01	127707
2021-06-01	154021
2021-09-01	140808
2021-12-01	148228
2022-03-01	141555
