date	value
2017-09-01	74.11
2017-10-01	74.24
2017-11-01	74.19
2017-12-01	75.52
2018-01-01	76.48
2018-02-01	76.64
2018-03-01	76.38
2018-04-01	77.03
2018-05-01	77.02
2018-06-01	76.25
2018-07-01	76.8
2018-08-01	76.93
2018-09-01	75.67
2018-10-01	75.67
2018-11-01	76.95
2018-12-01	75.59
2019-01-01	77.04
2019-02-01	77.88
2019-03-01	77.8
2019-04-01	77.34
2019-05-01	78.21
2019-06-01	77.7
2019-07-01	78.81
2019-08-01	78.31
2019-09-01	77.23
2019-10-01	77.15
2019-11-01	76.74
2019-12-01	75.49
2020-01-01	76.68
2020-02-01	77.21
2020-03-01	78.81
2020-04-01	79.62
2020-05-01	79.58
2020-06-01	79.11
2020-07-01	80
2020-08-01	79.95
2020-09-01	78.77
2020-10-01	79.39
2020-11-01	80
2020-12-01	78.06
2021-01-01	79.47
2021-02-01	80.57
2021-03-01	80.17
2021-04-01	79.99
2021-05-01	80.93
2021-06-01	80.95
2021-07-01	81.4
2021-08-01	81.73
2021-09-01	80.56
2021-10-01	80.44
2021-11-01	80.37
2021-12-01	80.41
2022-01-01	82.14
2022-02-01	86.81
2022-03-01	85.84
2022-04-01	85.83
2022-05-01	86.56
2022-06-01	86.86
2022-07-01	87.67
2022-08-01	88.98
2022-09-01	88.42
2022-10-01	89.4
2022-11-01	88.64
2022-12-01	87.42
2023-01-01	90.3
2023-02-01	91.64
2023-03-01	92.87
2023-04-01	95.08
2023-05-01	95.21
2023-06-01	92.82
2023-07-01	93.8
2023-08-01	93.5
2023-09-01	93
2023-10-01	92.47
2023-11-01	94.11
2023-12-01	94.3
2024-01-01	96.71
2024-02-01	97.43
2024-03-01	98.59
2024-04-01	98.3
2024-05-01	99.45
2024-06-01	99.82
2024-07-01	99.49
2024-08-01	99.28
2024-09-01	97.47
2024-10-01	97.91
2024-11-01	97.87
2024-12-01	97.51
2025-01-01	99.27
2025-02-01	101.44
2025-03-01	102.53
2025-04-01	101.24
2025-05-01	103.7
2025-06-01	103.35
2025-07-01	102.8
2025-08-01	101.75
2025-09-01	100
2025-10-01	99.61
2025-11-01	99.62
