date	value
2017-09-01	78.75
2017-10-01	78.9
2017-11-01	79.33
2017-12-01	78.5
2018-01-01	79.3
2018-02-01	78.51
2018-03-01	79.19
2018-04-01	80.02
2018-05-01	80.18
2018-06-01	80.97
2018-07-01	80.91
2018-08-01	80.83
2018-09-01	80.72
2018-10-01	81.02
2018-11-01	80.89
2018-12-01	80.97
2019-01-01	81.12
2019-02-01	81.79
2019-03-01	81.55
2019-04-01	79.86
2019-05-01	81.9
2019-06-01	81.81
2019-07-01	81.86
2019-08-01	81.86
2019-09-01	81.67
2019-10-01	81.7
2019-11-01	81.4
2019-12-01	82.66
2020-01-01	82.59
2020-02-01	82.37
2020-03-01	86.32
2020-04-01	88.04
2020-05-01	87.6
2020-06-01	86.3
2020-07-01	85.59
2020-08-01	85.85
2020-09-01	86.16
2020-10-01	86.23
2020-11-01	86.02
2020-12-01	85.39
2021-01-01	85.17
2021-02-01	85.69
2021-03-01	85.61
2021-04-01	84.82
2021-05-01	84.72
2021-06-01	85.03
2021-07-01	85.41
2021-08-01	85.45
2021-09-01	85.72
2021-10-01	84.99
2021-11-01	85.52
2021-12-01	85.81
2022-01-01	86.54
2022-02-01	89.7
2022-03-01	86.41
2022-04-01	85.94
2022-05-01	86.84
2022-06-01	88.48
2022-07-01	90.44
2022-08-01	90.19
2022-09-01	90.63
2022-10-01	91.91
2022-11-01	93.12
2022-12-01	93.79
2023-01-01	93.82
2023-02-01	94.58
2023-03-01	94.89
2023-04-01	95.51
2023-05-01	95.91
2023-06-01	95.09
2023-07-01	96.9
2023-08-01	97.63
2023-09-01	100.06
2023-10-01	100.02
2023-11-01	100.19
2023-12-01	99.76
2024-01-01	99.39
2024-02-01	99.36
2024-03-01	99.84
2024-04-01	101.92
2024-05-01	100.42
2024-06-01	100.05
2024-07-01	100.24
2024-08-01	100.25
2024-09-01	100.02
2024-10-01	99.36
2024-11-01	99.22
2024-12-01	99.2
2025-01-01	99.29
2025-02-01	99.88
2025-03-01	100.08
2025-04-01	100.09
2025-05-01	100.66
2025-06-01	100.3
2025-07-01	99.95
2025-08-01	100.01
2025-09-01	99.58
2025-10-01	99.47
2025-11-01	99.37
2025-12-01	100.49
2026-01-01	101.22
2026-02-01	101.37
2026-03-01	101.8
2026-04-01	101.5
2026-05-01	101.78
