date	value
2017-09-01	1
2017-10-01	1
2017-11-01	1
2017-12-01	1
2018-01-01	1
2018-02-01	1.00447
2018-03-01	1.00241
2018-04-01	1.00192
2018-05-01	1.00473
2018-06-01	0.99916
2018-07-01	1.00154
2018-08-01	1.00424
2018-09-01	0.99725
2018-10-01	0.99803
2018-11-01	0.99996
2018-12-01	0.98631
2019-01-01	0.9994
2019-02-01	1.00447
2019-03-01	1.0037
2019-04-01	1.00168
2019-05-01	1.00469
2019-06-01	0.99958
2019-07-01	1.00128
2019-08-01	1.00323
2019-09-01	0.99673
2019-10-01	0.99831
2019-11-01	1.00017
2019-12-01	0.98721
2020-01-01	0.99852
2020-02-01	1.00445
2020-03-01	1.00514
2020-04-01	1.00167
2020-05-01	1.00429
2020-06-01	0.99933
2020-07-01	1.00047
2020-08-01	1.00286
2020-09-01	0.99664
2020-10-01	0.99887
2020-11-01	1.00033
2020-12-01	0.9887
2021-01-01	0.99698
2021-02-01	1.00422
2021-03-01	1.00682
2021-04-01	1.00141
2021-05-01	1.00362
2021-06-01	0.99901
2021-07-01	0.99991
2021-08-01	1.00202
2021-09-01	0.99734
2021-10-01	0.9992
2021-11-01	1.00125
2021-12-01	0.98989
2022-01-01	0.9952
2022-02-01	1.00387
2022-03-01	1.00852
2022-04-01	1.00072
2022-05-01	1.0027
2022-06-01	0.99879
2022-07-01	0.99957
2022-08-01	1.00169
2022-09-01	0.99831
2022-10-01	0.99969
2022-11-01	1.00173
2022-12-01	0.99076
2023-01-01	0.99355
2023-02-01	1.00384
2023-03-01	1.00961
2023-04-01	0.99981
2023-05-01	1.00186
2023-06-01	0.99884
2023-07-01	0.9999
2023-08-01	1.00098
2023-09-01	0.9995
2023-10-01	0.99987
2023-11-01	1.0021
2023-12-01	0.99099
2024-01-01	0.99311
2024-02-01	1.00375
2024-03-01	1.00969
2024-04-01	0.99921
2024-05-01	1.00125
2024-06-01	0.99864
2024-07-01	1.00028
2024-08-01	1.00123
2024-09-01	1.00049
2024-10-01	0.99999
2024-11-01	1.00178
2024-12-01	0.99062
2025-01-01	0.99328
2025-02-01	1.00387
2025-03-01	1.00966
2025-04-01	0.99854
2025-05-01	1.00119
2025-06-01	0.99836
2025-07-01	1.00076
2025-08-01	1.00122
2025-09-01	1.00129
2025-10-01	0.99981
2025-11-01	1.00168
2025-12-01	0.99011
2026-01-01	0.99371
2026-02-01	1.00393
2026-03-01	1.00951
2026-04-01	0.99821
