date	value
2017-09-01	0.9917
2017-10-01	0.9996
2017-11-01	1.00409
2017-12-01	0.99001
2018-01-01	1.01098
2018-02-01	1.01046
2018-03-01	1.00889
2018-04-01	0.99425
2018-05-01	0.99438
2018-06-01	0.99482
2018-07-01	0.99923
2018-08-01	1.00123
2018-09-01	0.99209
2018-10-01	0.9998
2018-11-01	1.00409
2018-12-01	0.99014
2019-01-01	1.01122
2019-02-01	1.01017
2019-03-01	1.0083
2019-04-01	0.99415
2019-05-01	0.99439
2019-06-01	0.9947
2019-07-01	0.99918
2019-08-01	1.00109
2019-09-01	0.99297
2019-10-01	1.00034
2019-11-01	1.00406
2019-12-01	0.99022
2020-01-01	1.01129
2020-02-01	1.00974
2020-03-01	1.00719
2020-04-01	0.99402
2020-05-01	0.99478
2020-06-01	0.99454
2020-07-01	0.9988
2020-08-01	1.00105
2020-09-01	0.9944
2020-10-01	1.00098
2020-11-01	1.00369
2020-12-01	0.99069
2021-01-01	1.01112
2021-02-01	1.00922
2021-03-01	1.00561
2021-04-01	0.9941
2021-05-01	0.99549
2021-06-01	0.99466
2021-07-01	0.99802
2021-08-01	1.00108
2021-09-01	0.99575
2021-10-01	1.00153
2021-11-01	1.00291
2021-12-01	0.99176
2022-01-01	1.01097
2022-02-01	1.00855
2022-03-01	1.00408
2022-04-01	0.99432
2022-05-01	0.99618
2022-06-01	0.99494
2022-07-01	0.99712
2022-08-01	1.0011
2022-09-01	0.99701
2022-10-01	1.00179
2022-11-01	1.00167
2022-12-01	0.9933
2023-01-01	1.01089
2023-02-01	1.00783
2023-03-01	1.00285
2023-04-01	0.99483
2023-05-01	0.9967
2023-06-01	0.99541
2023-07-01	0.99617
2023-08-01	1.00109
2023-09-01	0.99773
2023-10-01	1.00195
2023-11-01	1.00045
2023-12-01	0.99474
2024-01-01	1.01077
2024-02-01	1.0073
2024-03-01	1.00225
2024-04-01	0.99532
2024-05-01	0.9971
2024-06-01	0.9958
2024-07-01	0.99531
2024-08-01	1.00114
2024-09-01	0.99807
2024-10-01	1.0019
2024-11-01	0.99942
2024-12-01	0.99589
2025-01-01	1.0105
2025-02-01	1.00718
2025-03-01	1.00208
2025-04-01	0.99576
2025-05-01	0.99735
2025-06-01	0.99603
2025-07-01	0.99468
2025-08-01	1.00126
2025-09-01	0.99792
2025-10-01	1.00182
2025-11-01	0.99882
