date	value
2017-09-01	0.98869
2017-10-01	0.99618
2017-11-01	1.00944
2017-12-01	1.02205
2018-01-01	1.01879
2018-02-01	1.00683
2018-03-01	0.99588
2018-04-01	1.00091
2018-05-01	0.98715
2018-06-01	0.98717
2018-07-01	0.99317
2018-08-01	0.99391
2018-09-01	0.98873
2018-10-01	0.99619
2018-11-01	1.00911
2018-12-01	1.02191
2019-01-01	1.01854
2019-02-01	1.00707
2019-03-01	0.99597
2019-04-01	1.00087
2019-05-01	0.98764
2019-06-01	0.98701
2019-07-01	0.9931
2019-08-01	0.99444
2019-09-01	0.98868
2019-10-01	0.99629
2019-11-01	1.00846
2019-12-01	1.02163
2020-01-01	1.01758
2020-02-01	1.00732
2020-03-01	0.99648
2020-04-01	1.00094
2020-05-01	0.98876
2020-06-01	0.98701
2020-07-01	0.99272
2020-08-01	0.99469
2020-09-01	0.98895
2020-10-01	0.99612
2020-11-01	1.00787
2020-12-01	1.02115
2021-01-01	1.01635
2021-02-01	1.00757
2021-03-01	0.99774
2021-04-01	1.00038
2021-05-01	0.9902
2021-06-01	0.98728
2021-07-01	0.99193
2021-08-01	0.99483
2021-09-01	0.98922
2021-10-01	0.99655
2021-11-01	1.00695
2021-12-01	1.02057
2022-01-01	1.01501
2022-02-01	1.00797
2022-03-01	0.99943
2022-04-01	0.99935
2022-05-01	0.99123
2022-06-01	0.98774
2022-07-01	0.99151
2022-08-01	0.99444
2022-09-01	0.99013
2022-10-01	0.99664
2022-11-01	1.00611
2022-12-01	1.01996
2023-01-01	1.01437
2023-02-01	1.00807
2023-03-01	1.00135
2023-04-01	0.99782
2023-05-01	0.9919
2023-06-01	0.98812
2023-07-01	0.9911
2023-08-01	0.99403
2023-09-01	0.99094
2023-10-01	0.99713
2023-11-01	1.00537
2023-12-01	1.01949
2024-01-01	1.01408
2024-02-01	1.00792
2024-03-01	1.00284
2024-04-01	0.99682
2024-05-01	0.9921
2024-06-01	0.98854
2024-07-01	0.99104
2024-08-01	0.99308
2024-09-01	0.99163
2024-10-01	0.99728
2024-11-01	1.00512
2024-12-01	1.01946
2025-01-01	1.01428
2025-02-01	1.00752
2025-03-01	1.00377
2025-04-01	0.99626
2025-05-01	0.99197
2025-06-01	0.98863
2025-07-01	0.99103
2025-08-01	0.99244
2025-09-01	0.99188
2025-10-01	0.99771
2025-11-01	1.00498
2025-12-01	1.01962
2026-01-01	1.01447
2026-02-01	1.00725
2026-03-01	1.00398
2026-04-01	0.9962
2026-05-01	0.99162
