date	value
2017-09-01	1.00189
2017-10-01	0.98531
2017-11-01	0.98904
2017-12-01	1.00165
2018-01-01	1.00818
2018-02-01	0.99648
2018-03-01	1.00232
2018-04-01	1.008
2018-05-01	1.00125
2018-06-01	0.9953
2018-07-01	1.00803
2018-08-01	1.00206
2018-09-01	1.00213
2018-10-01	0.98572
2018-11-01	0.98887
2018-12-01	1.00172
2019-01-01	1.00802
2019-02-01	0.99682
2019-03-01	1.00215
2019-04-01	1.00797
2019-05-01	1.00142
2019-06-01	0.99534
2019-07-01	1.00676
2019-08-01	1.00259
2019-09-01	1.00228
2019-10-01	0.98654
2019-11-01	0.9887
2019-12-01	1.00161
2020-01-01	1.00761
2020-02-01	0.99772
2020-03-01	1.00185
2020-04-01	1.0075
2020-05-01	1.00183
2020-06-01	0.9957
2020-07-01	1.00486
2020-08-01	1.00306
2020-09-01	1.00258
2020-10-01	0.98724
2020-11-01	0.9881
2020-12-01	1.00218
2021-01-01	1.00762
2021-02-01	0.9982
2021-03-01	1.00198
2021-04-01	1.00646
2021-05-01	1.00214
2021-06-01	0.99661
2021-07-01	1.00282
2021-08-01	1.00379
2021-09-01	1.00239
2021-10-01	0.98751
2021-11-01	0.98715
2021-12-01	1.00333
2022-01-01	1.00755
2022-02-01	0.99919
2022-03-01	1.00228
2022-04-01	1.0057
2022-05-01	1.00197
2022-06-01	0.9973
2022-07-01	1.00104
2022-08-01	1.00434
2022-09-01	1.00212
2022-10-01	0.98749
2022-11-01	0.9859
2022-12-01	1.00505
2023-01-01	1.00768
2023-02-01	0.99991
2023-03-01	1.0024
2023-04-01	1.00548
2023-05-01	1.00158
2023-06-01	0.99778
2023-07-01	1.00017
2023-08-01	1.0047
2023-09-01	1.00135
2023-10-01	0.9871
2023-11-01	0.98514
2023-12-01	1.00647
2024-01-01	1.00751
2024-02-01	1.00096
2024-03-01	1.00228
2024-04-01	1.00578
2024-05-01	1.00114
2024-06-01	0.99784
2024-07-01	1.00031
2024-08-01	1.00433
2024-09-01	1.00065
2024-10-01	0.98691
2024-11-01	0.9846
2024-12-01	1.00749
2025-01-01	1.00745
2025-02-01	1.00149
2025-03-01	1.00204
2025-04-01	1.00627
2025-05-01	1.00073
2025-06-01	0.99791
2025-07-01	1.00098
2025-08-01	1.00395
2025-09-01	0.99976
2025-10-01	0.98685
2025-11-01	0.98454
2025-12-01	1.00768
2026-01-01	1.00735
2026-02-01	1.00202
2026-03-01	1.00178
2026-04-01	1.00701
2026-05-01	1.00028
