date	value
2017-09-01	1
2017-10-01	1
2017-11-01	1
2017-12-01	1
2018-01-01	1
2018-02-01	1.0027
2018-03-01	1.00121
2018-04-01	1.00008
2018-05-01	0.9983
2018-06-01	0.99714
2018-07-01	0.9871
2018-08-01	1.00091
2018-09-01	0.99619
2018-10-01	1.00184
2018-11-01	1.00253
2018-12-01	1.00211
2019-01-01	1.01031
2019-02-01	1.00295
2019-03-01	1.00077
2019-04-01	0.99964
2019-05-01	0.99803
2019-06-01	0.99692
2019-07-01	0.98771
2019-08-01	1.00079
2019-09-01	0.99599
2019-10-01	1.0022
2019-11-01	1.00253
2019-12-01	1.00337
2020-01-01	1.00982
2020-02-01	1.00344
2020-03-01	0.99963
2020-04-01	0.99902
2020-05-01	0.99811
2020-06-01	0.99602
2020-07-01	0.9886
2020-08-01	1.0009
2020-09-01	0.99604
2020-10-01	1.00232
2020-11-01	1.0027
2020-12-01	1.00517
2021-01-01	1.00945
2021-02-01	1.003
2021-03-01	0.99901
2021-04-01	0.9984
2021-05-01	0.99785
2021-06-01	0.99446
2021-07-01	0.99028
2021-08-01	1.00064
2021-09-01	0.99593
2021-10-01	1.00313
2021-11-01	1.00304
2021-12-01	1.00637
2022-01-01	1.00955
2022-02-01	1.00218
2022-03-01	0.99879
2022-04-01	0.99786
2022-05-01	0.99724
2022-06-01	0.9923
2022-07-01	0.99245
2022-08-01	1.00079
2022-09-01	0.99558
2022-10-01	1.00331
2022-11-01	1.00383
2022-12-01	1.00705
2023-01-01	1.01091
2023-02-01	1.00034
2023-03-01	0.99943
2023-04-01	0.99744
2023-05-01	0.99571
2023-06-01	0.99066
2023-07-01	0.99441
2023-08-01	1.00069
2023-09-01	0.99545
2023-10-01	1.00403
2023-11-01	1.00445
2023-12-01	1.00683
2024-01-01	1.01226
2024-02-01	0.99895
2024-03-01	0.99994
2024-04-01	0.99738
2024-05-01	0.99448
2024-06-01	0.98928
2024-07-01	0.99547
2024-08-01	1.00106
2024-09-01	0.99579
2024-10-01	1.00401
2024-11-01	1.00489
2024-12-01	1.00649
2025-01-01	1.01348
2025-02-01	0.99755
2025-03-01	1.00087
2025-04-01	0.99709
2025-05-01	0.9937
2025-06-01	0.98886
2025-07-01	0.99592
2025-08-01	1.00094
2025-09-01	0.99602
2025-10-01	1.0042
2025-11-01	1.00529
2025-12-01	1.00569
2026-01-01	1.01435
2026-02-01	0.99687
2026-03-01	1.00134
2026-04-01	0.99708
