date	value
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	175
1985-12-01	172
1986-03-01	171
1986-06-01	176
1986-09-01	176
1986-12-01	171
1987-03-01	175
1987-06-01	175
1987-09-01	174
1987-12-01	181
1988-03-01	182
1988-06-01	174
1988-09-01	180
1988-12-01	176
1989-03-01	180
1989-06-01	185
1989-09-01	186
1989-12-01	189
1990-03-01	196
1990-06-01	198
1990-09-01	205
1990-12-01	201
1991-03-01	194
1991-06-01	191
1991-09-01	195
1991-12-01	201
1992-03-01	201
1992-06-01	204
1992-09-01	206
1992-12-01	204
1993-03-01	202
1993-06-01	208
1993-09-01	207
1993-12-01	212
1994-03-01	212
1994-06-01	214
1994-09-01	216
1994-12-01	209
1995-03-01	212
1995-06-01	212
1995-09-01	215
1995-12-01	211
1996-03-01	218
1996-06-01	216
1996-09-01	213
1996-12-01	217
1997-03-01	217
1997-06-01	217
1997-09-01	222
1997-12-01	221
1998-03-01	222
1998-06-01	229
1998-09-01	230
1998-12-01	237
1999-03-01	234
1999-06-01	219
1999-09-01	222
1999-12-01	225
2000-03-01	227
2000-06-01	233
2000-09-01	238
2000-12-01	238
2001-03-01	241
2001-06-01	245
2001-09-01	241
2001-12-01	243
2002-03-01	244
2002-06-01	247
2002-09-01	250
2002-12-01	253
2003-03-01	259
2003-06-01	260
2003-09-01	259
2003-12-01	267
2004-03-01	273
2004-06-01	273
2004-09-01	286
2004-12-01	289
2005-03-01	281
2005-06-01	283
2005-09-01	281
2005-12-01	276
2006-03-01	278
2006-06-01	280
2006-09-01	286
2006-12-01	291
2007-03-01	295
2007-06-01	293
2007-09-01	293
2007-12-01	300
2008-03-01	301
2008-06-01	310
2008-09-01	305
2008-12-01	285
2009-03-01	291
2009-06-01	297
2009-09-01	306
2009-12-01	300
2010-03-01	301
2010-06-01	306
2010-09-01	309
2010-12-01	322
2011-03-01	327
2011-06-01	323
2011-09-01	325
2011-12-01	321
2012-03-01	320
2012-06-01	318
2012-09-01	319
2012-12-01	312
2013-03-01	316
2013-06-01	309
2013-09-01	308
2013-12-01	304
2014-03-01	305
2014-06-01	297
2014-09-01	294
2014-12-01	287
2015-03-01	282
2015-06-01	287
2015-09-01	281
2015-12-01	274
2016-03-01	266
2016-06-01	265
2016-09-01	263
2016-12-01	268
2017-03-01	272
2017-06-01	269
2017-09-01	272
2017-12-01	282
2018-03-01	284
2018-06-01	288
2018-09-01	283
2018-12-01	280
2019-03-01	276
2019-06-01	278
2019-09-01	279
2019-12-01	281
2020-03-01	264
2020-06-01	188
2020-09-01	232
2020-12-01	252
2021-03-01	253
2021-06-01	257
2021-09-01	253
2021-12-01	268
2022-03-01	271
2022-06-01	268
2022-09-01	269
2022-12-01	273
2023-03-01	282
