date	value
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	766
1985-12-01	763
1986-03-01	755
1986-06-01	764
1986-09-01	711
1986-12-01	712
1987-03-01	738
1987-06-01	730
1987-09-01	740
1987-12-01	744
1988-03-01	743
1988-06-01	743
1988-09-01	734
1988-12-01	754
1989-03-01	794
1989-06-01	791
1989-09-01	802
1989-12-01	792
1990-03-01	783
1990-06-01	791
1990-09-01	781
1990-12-01	760
1991-03-01	756
1991-06-01	765
1991-09-01	803
1991-12-01	796
1992-03-01	769
1992-06-01	777
1992-09-01	777
1992-12-01	814
1993-03-01	831
1993-06-01	878
1993-09-01	836
1993-12-01	896
1994-03-01	962
1994-06-01	940
1994-09-01	986
1994-12-01	1018
1995-03-01	991
1995-06-01	1004
1995-09-01	1073
1995-12-01	1053
1996-03-01	1043
1996-06-01	1040
1996-09-01	920
1996-12-01	900
1997-03-01	931
1997-06-01	998
1997-09-01	1023
1997-12-01	987
1998-03-01	956
1998-06-01	970
1998-09-01	999
1998-12-01	1028
1999-03-01	1032
1999-06-01	982
1999-09-01	1006
1999-12-01	966
2000-03-01	988
2000-06-01	992
2000-09-01	967
2000-12-01	966
2001-03-01	951
2001-06-01	928
2001-09-01	939
2001-12-01	974
2002-03-01	1021
2002-06-01	1061
2002-09-01	1079
2002-12-01	1154
2003-03-01	1088
2003-06-01	1048
2003-09-01	1084
2003-12-01	1128
2004-03-01	1216
2004-06-01	1157
2004-09-01	1170
2004-12-01	1169
2005-03-01	1150
2005-06-01	1189
2005-09-01	1175
2005-12-01	1193
2006-03-01	1203
2006-06-01	1301
2006-09-01	1355
2006-12-01	1415
2007-03-01	1517
2007-06-01	1481
2007-09-01	1479
2007-12-01	1482
2008-03-01	1457
2008-06-01	1480
2008-09-01	1466
2008-12-01	1357
2009-03-01	1380
2009-06-01	1477
2009-09-01	1412
2009-12-01	1566
2010-03-01	1604
2010-06-01	1602
2010-09-01	1617
2010-12-01	1693
2011-03-01	1732
2011-06-01	1820
2011-09-01	1844
2011-12-01	1889
2012-03-01	1981
2012-06-01	2048
2012-09-01	2116
2012-12-01	2092
2013-03-01	2065
2013-06-01	2073
2013-09-01	2054
2013-12-01	2067
2014-03-01	2088
2014-06-01	2103
2014-09-01	2100
2014-12-01	2085
2015-03-01	2096
2015-06-01	2057
2015-09-01	2027
2015-12-01	2000
2016-03-01	2004
2016-06-01	2034
2016-09-01	2079
2016-12-01	2031
2017-03-01	2037
2017-06-01	2054
2017-09-01	2117
2017-12-01	2145
2018-03-01	2126
2018-06-01	2081
2018-09-01	2085
2018-12-01	2116
2019-03-01	2086
2019-06-01	2110
2019-09-01	2133
2019-12-01	2165
2020-03-01	1979
2020-06-01	1216
2020-09-01	1788
2020-12-01	1933
2021-03-01	2027
2021-06-01	2039
2021-09-01	2061
2021-12-01	2275
2022-03-01	2174
2022-06-01	2188
2022-09-01	2360
2022-12-01	2507
2023-03-01	2524
2023-06-01	2561
2023-09-01	2582
2023-12-01	2567
2024-03-01	2537
2024-06-01	2548
2024-09-01	2563
2024-12-01	2573
