date	value
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	1497
1985-12-01	1459
1986-03-01	1341
1986-06-01	1259
1986-09-01	1164
1986-12-01	1097
1987-03-01	1153
1987-06-01	1185
1987-09-01	1285
1987-12-01	1477
1988-03-01	1728
1988-06-01	1963
1988-09-01	2237
1988-12-01	2441
1989-03-01	2453
1989-06-01	2528
1989-09-01	2307
1989-12-01	2134
1990-03-01	2128
1990-06-01	1623
1990-09-01	1927
1990-12-01	1744
1991-03-01	1821
1991-06-01	1773
1991-09-01	1833
1991-12-01	1881
1992-03-01	1898
1992-06-01	2008
1992-09-01	2208
1992-12-01	2438
1993-03-01	2478
1993-06-01	2554
1993-09-01	2599
1993-12-01	2888
1994-03-01	2748
1994-06-01	2919
1994-09-01	3116
1994-12-01	2962
1995-03-01	2893
1995-06-01	2558
1995-09-01	2225
1995-12-01	1997
1996-03-01	1901
1996-06-01	2058
1996-09-01	1908
1996-12-01	2056
1997-03-01	2133
1997-06-01	2082
1997-09-01	2431
1997-12-01	2506
1998-03-01	2571
1998-06-01	2492
1998-09-01	2396
1998-12-01	2189
1999-03-01	2199
1999-06-01	2206
1999-09-01	1987
1999-12-01	2441
2000-03-01	2755
2000-06-01	3270
2000-09-01	2124
2000-12-01	1707
2001-03-01	1762
2001-06-01	2044
2001-09-01	2333
2001-12-01	2559
2002-03-01	2863
2002-06-01	3034
2002-09-01	3062
2002-12-01	3237
2003-03-01	3334
2003-06-01	3214
2003-09-01	3350
2003-12-01	3847
2004-03-01	3810
2004-06-01	3780
2004-09-01	3924
2004-12-01	3893
2005-03-01	3825
2005-06-01	3921
2005-09-01	3976
2005-12-01	3929
2006-03-01	3690
2006-06-01	3856
2006-09-01	3732
2006-12-01	3975
2007-03-01	4166
2007-06-01	4092
2007-09-01	3887
2007-12-01	3984
2008-03-01	4228
2008-06-01	4183
2008-09-01	4394
2008-12-01	3623
2009-03-01	3444
2009-06-01	3007
2009-09-01	3241
2009-12-01	3311
2010-03-01	3185
2010-06-01	3579
2010-09-01	3152
2010-12-01	2996
2011-03-01	2825
2011-06-01	2544
2011-09-01	2652
2011-12-01	2477
2012-03-01	2591
2012-06-01	2763
2012-09-01	2496
2012-12-01	2773
2013-03-01	2655
2013-06-01	2727
2013-09-01	2666
2013-12-01	2847
2014-03-01	2957
2014-06-01	3104
2014-09-01	3119
2014-12-01	3068
2015-03-01	3585
2015-06-01	3461
2015-09-01	3554
2015-12-01	3913
2016-03-01	4210
2016-06-01	4008
2016-09-01	4260
2016-12-01	4303
2017-03-01	3900
2017-06-01	3928
2017-09-01	3891
2017-12-01	3861
2018-03-01	3506
2018-06-01	3645
2018-09-01	3495
2018-12-01	3288
2019-03-01	3446
2019-06-01	3185
2019-09-01	3218
2019-12-01	2882
2020-03-01	2898
2020-06-01	2775
2020-09-01	2721
2020-12-01	2986
2021-03-01	3111
2021-06-01	3501
2021-09-01	3470
2021-12-01	3386
2022-03-01	3187
2022-06-01	3017
2022-09-01	3095
2022-12-01	3206
2023-03-01	3444
2023-06-01	3461
2023-09-01	3430
2023-12-01	3363
2024-03-01	3183
