date	value
1959-09-01	42
1959-12-01	48
1960-03-01	67
1960-06-01	-32
1960-09-01	91
1960-12-01	44
1961-03-01	-36
1961-06-01	-63
1961-09-01	-60
1961-12-01	-48
1962-03-01	-12
1962-06-01	-9
1962-09-01	13
1962-12-01	-16
1963-03-01	-20
1963-06-01	24
1963-09-01	22
1963-12-01	-9
1964-03-01	-42
1964-06-01	-89
1964-09-01	16
1964-12-01	-32
1965-03-01	-34
1965-06-01	-25
1965-09-01	-41
1965-12-01	-93
1966-03-01	-26
1966-06-01	-64
1966-09-01	-49
1966-12-01	-34
1967-03-01	-67
1967-06-01	-27
1967-09-01	-110
1967-12-01	-140
1968-03-01	16
1968-06-01	-95
1968-09-01	-5
1968-12-01	-105
1969-03-01	43
1969-06-01	-52
1969-09-01	23
1969-12-01	57
1970-03-01	-48
1970-06-01	-25
1970-09-01	-82
1970-12-01	49
1971-03-01	-38
1971-06-01	8
1971-09-01	-76
1971-12-01	50
1972-03-01	-21
1972-06-01	-74
1972-09-01	-175
1972-12-01	-26
1973-03-01	51
1973-06-01	-121
1973-09-01	454
1973-12-01	84
1974-03-01	39
1974-06-01	342
1974-09-01	209
1974-12-01	298
1975-03-01	197
1975-06-01	-12
1975-09-01	-59
1975-12-01	96
1976-03-01	-136
1976-06-01	-88
1976-09-01	-69
1976-12-01	-102
1977-03-01	-40
1977-06-01	-260
1977-09-01	-254
1977-12-01	-135
1978-03-01	111
1978-06-01	-263
1978-09-01	53
1978-12-01	10
1979-03-01	-621
1979-06-01	-429
1979-09-01	-151
1979-12-01	-334
1980-03-01	-359
1980-06-01	-148
1980-09-01	-443
1980-12-01	-137
1981-03-01	-311
1981-06-01	-110
1981-09-01	-338
1981-12-01	-196
1982-03-01	61
1982-06-01	-137
1982-09-01	-582
1982-12-01	-201
1983-03-01	-467
1983-06-01	-626
1983-09-01	-114
1983-12-01	-456
1984-03-01	-194
1984-06-01	51
1984-09-01	34
1984-12-01	252
1985-03-01	-121
1985-06-01	-466
1985-09-01	-302
1985-12-01	-572
1986-03-01	-114
1986-06-01	-930
1986-09-01	-694
1986-12-01	-1268
1987-03-01	-1213
1987-06-01	-1060
1987-09-01	-671
1987-12-01	-767
1988-03-01	-707
1988-06-01	-90
1988-09-01	102
1988-12-01	164
1989-03-01	922
1989-06-01	350
1989-09-01	204
1989-12-01	688
1990-03-01	1445
1990-06-01	331
1990-09-01	1033
1990-12-01	1409
1991-03-01	-93
1991-06-01	125
1991-09-01	-883
1991-12-01	-730
1992-03-01	-227
1992-06-01	-360
1992-09-01	-334
1992-12-01	-321
1993-03-01	-1069
1993-06-01	26
1993-09-01	1172
1993-12-01	-466
1994-03-01	266
1994-06-01	231
1994-09-01	-601
1994-12-01	40
1995-03-01	505
1995-06-01	57
1995-09-01	-478
1995-12-01	956
1996-03-01	476
1996-06-01	-952
1996-09-01	178
1996-12-01	314
1997-03-01	-269
1997-06-01	-224
1997-09-01	204
1997-12-01	-642
1998-03-01	-139
1998-06-01	573
1998-09-01	562
1998-12-01	-524
1999-03-01	278
1999-06-01	-319
1999-09-01	-445
1999-12-01	-218
2000-03-01	752
2000-06-01	-71
2000-09-01	-389
2000-12-01	741
2001-03-01	-85
2001-06-01	-274
2001-09-01	-948
2001-12-01	820
2002-03-01	175
2002-06-01	-44
2002-09-01	880
2002-12-01	-318
2003-03-01	-948
2003-06-01	375
2003-09-01	-41
2003-12-01	41
2004-03-01	-661
2004-06-01	667
2004-09-01	-368
2004-12-01	409
2005-03-01	86
2005-06-01	-127
2005-09-01	32
2005-12-01	-1018
2006-03-01	582
2006-06-01	419
2006-09-01	-554
2006-12-01	391
2007-03-01	-2
2007-06-01	176
2007-09-01	-1367
2007-12-01	-958
2008-03-01	-791
2008-06-01	3244
2008-09-01	1802
2008-12-01	2109
2009-03-01	-1618
2009-06-01	-2235
2009-09-01	-1512
2009-12-01	333
2010-03-01	-355
2010-06-01	1625
2010-09-01	-141
2010-12-01	1374
2011-03-01	-1316
2011-06-01	62
2011-09-01	1681
2011-12-01	303
2012-03-01	883
2012-06-01	-2858
2012-09-01	-1891
2012-12-01	1026
2013-03-01	-603
2013-06-01	1483
2013-09-01	-194
2013-12-01	576
2014-03-01	-918
2014-06-01	535
2014-09-01	-1301
2014-12-01	288
2015-03-01	-1411
2015-06-01	2416
2015-09-01	1091
2015-12-01	1230
2016-03-01	-1553
2016-06-01	-757
2016-09-01	-1435
2016-12-01	-1389
2017-03-01	1808
2017-06-01	1082
2017-09-01	-503
2017-12-01	17
2018-03-01	264
2018-06-01	229
2018-09-01	-1202
2018-12-01	-80
2019-03-01	887
2019-06-01	419
2019-09-01	-953
2019-12-01	755
2020-03-01	476
2020-06-01	-283
2020-09-01	-295
2020-12-01	42
2021-03-01	-691
2021-06-01	978
2021-09-01	-551
2021-12-01	-301
2022-03-01	6
2022-06-01	905
2022-09-01	1117
2022-12-01	-1667
2023-03-01	-159
2023-06-01	702
2023-09-01	-684
2023-12-01	-140
2024-03-01	1227
2024-06-01	1919
2024-09-01	471
2024-12-01	-529
