date	value
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	9726
1985-12-01	9695
1986-03-01	9656
1986-06-01	9636
1986-09-01	9627
1986-12-01	9639
1987-03-01	9706
1987-06-01	9837
1987-09-01	9978
1987-12-01	10106
1988-03-01	10236
1988-06-01	10404
1988-09-01	10598
1988-12-01	10731
1989-03-01	10749
1989-06-01	10686
1989-09-01	10629
1989-12-01	10650
1990-03-01	10763
1990-06-01	10866
1990-09-01	10914
1990-12-01	10900
1991-03-01	10842
1991-06-01	10782
1991-09-01	10729
1991-12-01	10710
1992-03-01	10707
1992-06-01	10693
1992-09-01	10656
1992-12-01	10636
1993-03-01	10663
1993-06-01	10700
1993-09-01	10727
1993-12-01	10750
1994-03-01	10804
1994-06-01	10997
1994-09-01	11274
1994-12-01	11533
1995-03-01	11663
1995-06-01	11666
1995-09-01	11649
1995-12-01	11675
1996-03-01	11742
1996-06-01	11839
1996-09-01	11879
1996-12-01	11990
1997-03-01	12246
1997-06-01	12605
1997-09-01	12947
1997-12-01	13141
1998-03-01	13214
1998-06-01	13231
1998-09-01	13189
1998-12-01	13093
1999-03-01	13123
1999-06-01	13027
1999-09-01	13706
1999-12-01	14853
2000-03-01	15786
2000-06-01	15810
2000-09-01	15087
2000-12-01	14390
2001-03-01	14318
2001-06-01	14309
2001-09-01	14617
2001-12-01	14945
2002-03-01	15303
2002-06-01	15607
2002-09-01	15867
2002-12-01	16125
2003-03-01	16385
2003-06-01	16609
2003-09-01	16781
2003-12-01	16958
2004-03-01	17153
2004-06-01	17387
2004-09-01	17573
2004-12-01	17691
2005-03-01	17767
2005-06-01	17810
2005-09-01	17854
2005-12-01	17931
2006-03-01	18034
2006-06-01	18146
2006-09-01	18324
2006-12-01	18635
2007-03-01	18942
2007-06-01	19137
2007-09-01	19212
2007-12-01	19321
2008-03-01	19583
2008-06-01	19754
2008-09-01	19741
2008-12-01	19663
2009-03-01	19655
2009-06-01	19752
2009-09-01	19841
2009-12-01	19893
2010-03-01	20007
2010-06-01	20179
2010-09-01	20316
2010-12-01	20424
2011-03-01	20518
2011-06-01	20577
2011-09-01	20686
2011-12-01	20842
2012-03-01	20942
2012-06-01	20932
2012-09-01	20822
2012-12-01	20717
2013-03-01	20746
2013-06-01	20837
2013-09-01	20902
2013-12-01	20906
2014-03-01	20922
2014-06-01	21056
2014-09-01	21367
2014-12-01	21600
2015-03-01	21682
2015-06-01	21678
2015-09-01	21643
2015-12-01	21592
2016-03-01	21557
2016-06-01	21563
2016-09-01	21917
2016-12-01	21866
2017-03-01	21559
2017-06-01	21560
2017-09-01	22081
2017-12-01	22819
2018-03-01	23212
2018-06-01	23098
2018-09-01	23181
2018-12-01	23221
2019-03-01	23235
2019-06-01	
2019-09-01	
2019-12-01	
2020-03-01	
2020-06-01	
2020-09-01	
2020-12-01	
2021-03-01	
2021-06-01	
2021-09-01	
2021-12-01	
2022-03-01	
2022-06-01	
2022-09-01	
2022-12-01	
2023-03-01	
2023-06-01	
2023-09-01	
2023-12-01	
2024-03-01	
