date	value
1960-06-01	
1961-06-01	
1962-06-01	
1963-06-01	
1964-06-01	
1965-06-01	
1966-06-01	
1967-06-01	
1968-06-01	
1969-06-01	
1970-06-01	
1971-06-01	
1972-06-01	
1973-06-01	
1974-06-01	
1975-06-01	
1976-06-01	
1977-06-01	
1978-06-01	
1979-06-01	
1980-06-01	
1981-06-01	
1982-06-01	
1983-06-01	
1984-06-01	
1985-06-01	
1986-06-01	15.1
1987-06-01	5.3
1988-06-01	33
1989-06-01	19.1
1990-06-01	-7.7
1991-06-01	-29.6
1992-06-01	-6
1993-06-01	4.1
1994-06-01	1.5
1995-06-01	8.8
1996-06-01	-3
1997-06-01	-8.9
1998-06-01	-1.3
1999-06-01	-5.5
2000-06-01	1.9
2001-06-01	18
2002-06-01	20.5
2003-06-01	2.4
2004-06-01	-8.7
2005-06-01	-3.1
2006-06-01	-1.7
2007-06-01	5.2
2008-06-01	8
2009-06-01	-10.8
2010-06-01	0
2011-06-01	11.2
2012-06-01	3.9
2013-06-01	5.4
2014-06-01	-1.5
2015-06-01	6.8
2016-06-01	11.7
2017-06-01	9.5
2018-06-01	-2.3
2019-06-01	1.3
2020-06-01	7.8
2021-06-01	-1.5
2022-06-01	10
2023-06-01	1.5
2024-06-01	-18.7
