date	value
1960-06-01	0.7
1961-06-01	0.7
1962-06-01	0.8
1963-06-01	0.8
1964-06-01	0.9
1965-06-01	1
1966-06-01	1
1967-06-01	1
1968-06-01	1.2
1969-06-01	1.4
1970-06-01	1.5
1971-06-01	1.6
1972-06-01	1.7
1973-06-01	2.2
1974-06-01	2.6
1975-06-01	2.8
1976-06-01	3.5
1977-06-01	4
1978-06-01	4.5
1979-06-01	5
1980-06-01	5.6
1981-06-01	6.5
1982-06-01	7
1983-06-01	7.4
1984-06-01	7.9
1985-06-01	9.5
1986-06-01	10.8
1987-06-01	13.8
1988-06-01	14.8
1989-06-01	17.5
1990-06-01	17.8
1991-06-01	15.6
1992-06-01	14.8
1993-06-01	15.7
1994-06-01	16.6
1995-06-01	17.2
1996-06-01	18.8
1997-06-01	19.7
1998-06-01	21.5
1999-06-01	22.5
2000-06-01	24.2
2001-06-01	26
2002-06-01	29.2
2003-06-01	33.4
2004-06-01	39.6
2005-06-01	42.5
2006-06-01	45.8
2007-06-01	51.5
2008-06-01	55.5
2009-06-01	50.6
2010-06-01	55.8
2011-06-01	61.6
2012-06-01	60.2
2013-06-01	61.8
2014-06-01	65.9
2015-06-01	76.8
2016-06-01	80.3
2017-06-01	81.4
2018-06-01	86
2019-06-01	82.4
2020-06-01	84.5
2021-06-01	85.3
2022-06-01	103.4
2023-06-01	100
2024-06-01	104.5
