date	value
1948-09-01	
1948-12-01	
1949-03-01	
1949-06-01	
1949-09-01	
1949-12-01	
1950-03-01	
1950-06-01	
1950-09-01	
1950-12-01	
1951-03-01	
1951-06-01	
1951-09-01	
1951-12-01	
1952-03-01	
1952-06-01	
1952-09-01	
1952-12-01	
1953-03-01	
1953-06-01	
1953-09-01	
1953-12-01	
1954-03-01	
1954-06-01	
1954-09-01	
1954-12-01	
1955-03-01	
1955-06-01	
1955-09-01	
1955-12-01	
1956-03-01	
1956-06-01	
1956-09-01	
1956-12-01	
1957-03-01	
1957-06-01	
1957-09-01	
1957-12-01	
1958-03-01	
1958-06-01	
1958-09-01	
1958-12-01	
1959-03-01	
1959-06-01	
1959-09-01	
1959-12-01	
1960-03-01	
1960-06-01	
1960-09-01	
1960-12-01	
1961-03-01	
1961-06-01	
1961-09-01	
1961-12-01	
1962-03-01	
1962-06-01	
1962-09-01	
1962-12-01	
1963-03-01	
1963-06-01	
1963-09-01	
1963-12-01	
1964-03-01	
1964-06-01	
1964-09-01	
1964-12-01	
1965-03-01	
1965-06-01	
1965-09-01	
1965-12-01	
1966-03-01	
1966-06-01	
1966-09-01	
1966-12-01	
1967-03-01	
1967-06-01	
1967-09-01	
1967-12-01	
1968-03-01	
1968-06-01	
1968-09-01	
1968-12-01	
1969-03-01	
1969-06-01	
1969-09-01	
1969-12-01	
1970-03-01	
1970-06-01	
1970-09-01	
1970-12-01	
1971-03-01	
1971-06-01	
1971-09-01	
1971-12-01	
1972-03-01	
1972-06-01	11.1
1972-09-01	11.2
1972-12-01	11.3
1973-03-01	11.6
1973-06-01	12
1973-09-01	12.4
1973-12-01	12.9
1974-03-01	13.2
1974-06-01	13.7
1974-09-01	14.5
1974-12-01	14.8
1975-03-01	15.2
1975-06-01	15.6
1975-09-01	16.1
1975-12-01	17.2
1976-03-01	17.6
1976-06-01	18.1
1976-09-01	18.5
1976-12-01	19
1977-03-01	19.5
1977-06-01	19.8
1977-09-01	20.3
1977-12-01	20.7
1978-03-01	21.1
1978-06-01	21.5
1978-09-01	21.9
1978-12-01	23
1979-03-01	23.1
1979-06-01	23.6
1979-09-01	24.2
1979-12-01	24.9
1980-03-01	25.5
1980-06-01	26.1
1980-09-01	26.6
1980-12-01	27.2
1981-03-01	27.8
1981-06-01	28.5
1981-09-01	29.2
1981-12-01	30.2
1982-03-01	30.9
1982-06-01	31.3
1982-09-01	32.5
1982-12-01	33.4
1983-03-01	34.2
1983-06-01	34.6
1983-09-01	35.4
1983-12-01	36.2
1984-03-01	36.6
1984-06-01	37
1984-09-01	37.6
1984-12-01	37.9
1985-03-01	38.5
1985-06-01	39.2
1985-09-01	40.2
1985-12-01	41
1986-03-01	41.9
1986-06-01	42.3
1986-09-01	43.3
1986-12-01	44.5
1987-03-01	45.4
1987-06-01	46
1987-09-01	46.6
1987-12-01	47.4
1988-03-01	48.2
1988-06-01	49.2
1988-09-01	49.9
1988-12-01	50.7
1989-03-01	51.4
1989-06-01	52.7
1989-09-01	53.7
1989-12-01	54.6
1990-03-01	55.4
1990-06-01	56.2
1990-09-01	56.5
1990-12-01	57.9
1991-03-01	58.1
1991-06-01	58.1
1991-09-01	58.3
1991-12-01	58.8
1992-03-01	58.8
1992-06-01	58.7
1992-09-01	58.7
1992-12-01	59.3
1993-03-01	59.8
1993-06-01	60.1
1993-09-01	60.3
1993-12-01	60.4
1994-03-01	60.8
1994-06-01	61.1
1994-09-01	61.6
1994-12-01	62.2
1995-03-01	63.4
1995-06-01	64
1995-09-01	64.5
1995-12-01	64.9
1996-03-01	65.4
1996-06-01	65.9
1996-09-01	66
1996-12-01	66
1997-03-01	66.3
1997-06-01	66
1997-09-01	65.9
1997-12-01	66.1
1998-03-01	66.4
1998-06-01	66.6
1998-09-01	66.6
1998-12-01	66.9
1999-03-01	67.1
1999-06-01	67.3
1999-09-01	67.7
1999-12-01	67.8
2000-03-01	68.6
2000-06-01	69.1
2000-09-01	71.8
2000-12-01	71.9
2001-03-01	72.5
2001-06-01	73.3
2001-09-01	73.4
2001-12-01	74.3
2002-03-01	75
2002-06-01	75.4
2002-09-01	75.9
2002-12-01	76.3
2003-03-01	77.3
2003-06-01	77.2
2003-09-01	78
2003-12-01	78.5
2004-03-01	79.1
2004-06-01	79.5
2004-09-01	79.8
2004-12-01	80.4
2005-03-01	81.1
2005-06-01	81.4
2005-09-01	82
2005-12-01	82.6
2006-03-01	83.3
2006-06-01	84.7
2006-09-01	85.5
2006-12-01	85.4
2007-03-01	85.7
2007-06-01	86.9
2007-09-01	87.7
2007-12-01	88.7
2008-03-01	89.8
2008-06-01	91.3
2008-09-01	92.6
2008-12-01	92.4
2009-03-01	92.6
2009-06-01	93.1
2009-09-01	94.4
2009-12-01	94.7
2010-03-01	95.3
2010-06-01	96
2010-09-01	97
2010-12-01	97.5
2011-03-01	98.7
2011-06-01	99.6
2011-09-01	100
2011-12-01	99.8
2012-03-01	99.9
2012-06-01	100.4
2012-09-01	101.4
2012-12-01	101.7
2013-03-01	101.7
2013-06-01	102.1
2013-09-01	103.4
2013-12-01	104.3
2014-03-01	104.8
2014-06-01	105.3
2014-09-01	106
2014-12-01	106.3
2015-03-01	106.1
2015-06-01	106.7
2015-09-01	107.4
2015-12-01	107.8
2016-03-01	107.7
2016-06-01	108
2016-09-01	108.7
2016-12-01	109.3
2017-03-01	109.5
2017-06-01	109.8
2017-09-01	110.3
2017-12-01	111.2
2018-03-01	111.3
2018-06-01	111.6
2018-09-01	112.2
2018-12-01	112.8
2019-03-01	112.8
2019-06-01	113.4
2019-09-01	114.1
2019-12-01	115
2020-03-01	114.9
2020-06-01	112.2
2020-09-01	114.8
2020-12-01	116
2021-03-01	116.7
2021-06-01	117.6
2021-09-01	119.1
2021-12-01	121
2022-03-01	123.7
2022-06-01	126.3
2022-09-01	128.7
2022-12-01	130.6
2023-03-01	132.8
2023-06-01	134.3
2023-09-01	135.3
2023-12-01	135.9
2024-03-01	137.3
2024-06-01	138.5
2024-09-01	137.3
2024-12-01	138.2
2025-03-01	140.7
