date	value
1983-09-01	289
1983-12-01	299
1984-03-01	320
1984-06-01	341
1984-09-01	354
1984-12-01	358
1985-03-01	359
1985-06-01	370
1985-09-01	387
1985-12-01	397
1986-03-01	410
1986-06-01	424
1986-09-01	433
1986-12-01	438
1987-03-01	441
1987-06-01	446
1987-09-01	454
1987-12-01	463
1988-03-01	472
1988-06-01	473
1988-09-01	468
1988-12-01	476
1989-03-01	497
1989-06-01	517
1989-09-01	527
1989-12-01	534
1990-03-01	544
1990-06-01	549
1990-09-01	548
1990-12-01	552
1991-03-01	566
1991-06-01	587
1991-09-01	598
1991-12-01	601
1992-03-01	600
1992-06-01	598
1992-09-01	599
1992-12-01	603
1993-03-01	611
1993-06-01	621
1993-09-01	633
1993-12-01	644
1994-03-01	651
1994-06-01	653
1994-09-01	654
1994-12-01	660
1995-03-01	673
1995-06-01	700
1995-09-01	737
1995-12-01	758
1996-03-01	771
1996-06-01	767
1996-09-01	754
1996-12-01	741
1997-03-01	744
1997-06-01	774
1997-09-01	802
1997-12-01	812
1998-03-01	808
1998-06-01	786
1998-09-01	759
1998-12-01	742
1999-03-01	743
1999-06-01	759
1999-09-01	780
1999-12-01	818
2000-03-01	854
2000-06-01	866
2000-09-01	847
2000-12-01	816
2001-03-01	810
2001-06-01	837
2001-09-01	886
2001-12-01	919
2002-03-01	924
2002-06-01	914
2002-09-01	915
2002-12-01	932
2003-03-01	959
2003-06-01	974
2003-09-01	982
2003-12-01	989
2004-03-01	1011
2004-06-01	1039
2004-09-01	1058
2004-12-01	1078
2005-03-01	1101
2005-06-01	1126
2005-09-01	1144
2005-12-01	1149
2006-03-01	1153
2006-06-01	1181
2006-09-01	1230
2006-12-01	1274
2007-03-01	1301
2007-06-01	1317
2007-09-01	1337
2007-12-01	1355
2008-03-01	1372
2008-06-01	1397
2008-09-01	1438
2008-12-01	1483
2009-03-01	1515
2009-06-01	1516
2009-09-01	1513
2009-12-01	1532
2010-03-01	1562
2010-06-01	1593
2010-09-01	1620
2010-12-01	1648
2011-03-01	1684
2011-06-01	1725
2011-09-01	1765
2011-12-01	1820
2012-03-01	1852
2012-06-01	1864
2012-09-01	1880
2012-12-01	1898
2013-03-01	1928
2013-06-01	1972
2013-09-01	2013
2013-12-01	2032
2014-03-01	2022
2014-06-01	2000
2014-09-01	2017
2014-12-01	2067
2015-03-01	2114
2015-06-01	2138
2015-09-01	2161
2015-12-01	2207
2016-03-01	2284
2016-06-01	2332
2016-09-01	2346
2016-12-01	2355
2017-03-01	2386
2017-06-01	2428
2017-09-01	2459
2017-12-01	2487
2018-03-01	2525
2018-06-01	2575
2018-09-01	2632
2018-12-01	2695
2019-03-01	2765
2019-06-01	
2019-09-01	
2019-12-01	
2020-03-01	
2020-06-01	
2020-09-01	
2020-12-01	
2021-03-01	
2021-06-01	
2021-09-01	
2021-12-01	
2022-03-01	
