date	value
1960-06-01	
1961-06-01	
1962-06-01	
1963-06-01	
1964-06-01	
1965-06-01	
1966-06-01	
1967-06-01	
1968-06-01	
1969-06-01	
1970-06-01	
1971-06-01	
1972-06-01	
1973-06-01	
1974-06-01	
1975-06-01	
1976-06-01	
1977-06-01	
1978-06-01	
1979-06-01	
1980-06-01	
1981-06-01	
1982-06-01	
1983-06-01	
1984-06-01	
1985-06-01	
1986-06-01	36.4
1987-06-01	39.3
1988-06-01	41.9
1989-06-01	44.7
1990-06-01	47.6
1991-06-01	50.2
1992-06-01	51.7
1993-06-01	52.7
1994-06-01	53.6
1995-06-01	54.6
1996-06-01	56.2
1997-06-01	57.2
1998-06-01	58.1
1999-06-01	59.2
2000-06-01	60.3
2001-06-01	63.3
2002-06-01	65.1
2003-06-01	67
2004-06-01	68.2
2005-06-01	70
2006-06-01	72.4
2007-06-01	74.8
2008-06-01	77.4
2009-06-01	81
2010-06-01	83.2
2011-06-01	85.4
2012-06-01	87.4
2013-06-01	89.4
2014-06-01	91.6
2015-06-01	93
2016-06-01	94.2
2017-06-01	95.1
2018-06-01	96.4
2019-06-01	98.2
2020-06-01	100
2021-06-01	100.8
