date	value
1959-09-01	
1959-12-01	
1960-03-01	
1960-06-01	
1960-09-01	
1960-12-01	
1961-03-01	
1961-06-01	
1961-09-01	
1961-12-01	
1962-03-01	
1962-06-01	
1962-09-01	
1962-12-01	
1963-03-01	
1963-06-01	
1963-09-01	
1963-12-01	
1964-03-01	
1964-06-01	
1964-09-01	
1964-12-01	
1965-03-01	
1965-06-01	
1965-09-01	
1965-12-01	
1966-03-01	
1966-06-01	
1966-09-01	
1966-12-01	
1967-03-01	
1967-06-01	
1967-09-01	
1967-12-01	
1968-03-01	
1968-06-01	
1968-09-01	
1968-12-01	
1969-03-01	
1969-06-01	
1969-09-01	
1969-12-01	
1970-03-01	
1970-06-01	
1970-09-01	
1970-12-01	
1971-03-01	
1971-06-01	
1971-09-01	
1971-12-01	
1972-03-01	
1972-06-01	
1972-09-01	
1972-12-01	
1973-03-01	
1973-06-01	
1973-09-01	
1973-12-01	
1974-03-01	
1974-06-01	
1974-09-01	21
1974-12-01	23
1975-03-01	26
1975-06-01	29
1975-09-01	32
1975-12-01	37
1976-03-01	45
1976-06-01	49
1976-09-01	52
1976-12-01	57
1977-03-01	60
1977-06-01	64
1977-09-01	69
1977-12-01	67
1978-03-01	75
1978-06-01	76
1978-09-01	78
1978-12-01	84
1979-03-01	86
1979-06-01	89
1979-09-01	98
1979-12-01	101
1980-03-01	103
1980-06-01	105
1980-09-01	97
1980-12-01	94
1981-03-01	112
1981-06-01	123
1981-09-01	144
1981-12-01	165
1982-03-01	169
1982-06-01	173
1982-09-01	165
1982-12-01	156
1983-03-01	158
1983-06-01	168
1983-09-01	165
1983-12-01	177
1984-03-01	184
1984-06-01	187
1984-09-01	197
1984-12-01	205
1985-03-01	202
1985-06-01	193
1985-09-01	194
1985-12-01	195
1986-03-01	193
1986-06-01	202
1986-09-01	184
1986-12-01	193
1987-03-01	195
1987-06-01	197
1987-09-01	201
1987-12-01	203
1988-03-01	212
1988-06-01	208
1988-09-01	213
1988-12-01	218
1989-03-01	223
1989-06-01	226
1989-09-01	233
1989-12-01	238
1990-03-01	237
1990-06-01	235
1990-09-01	227
1990-12-01	223
1991-03-01	221
1991-06-01	222
1991-09-01	219
1991-12-01	216
1992-03-01	220
1992-06-01	223
1992-09-01	232
1992-12-01	217
1993-03-01	216
1993-06-01	223
1993-09-01	220
1993-12-01	237
1994-03-01	241
1994-06-01	240
1994-09-01	250
1994-12-01	252
1995-03-01	248
1995-06-01	252
1995-09-01	252
1995-12-01	254
1996-03-01	256
1996-06-01	247
1996-09-01	254
1996-12-01	250
1997-03-01	252
1997-06-01	257
1997-09-01	254
1997-12-01	262
1998-03-01	270
1998-06-01	270
1998-09-01	277
1998-12-01	282
1999-03-01	285
1999-06-01	287
1999-09-01	288
1999-12-01	293
2000-03-01	300
2000-06-01	307
2000-09-01	305
2000-12-01	301
2001-03-01	303
2001-06-01	312
2001-09-01	307
2001-12-01	317
2002-03-01	310
2002-06-01	307
2002-09-01	319
2002-12-01	317
2003-03-01	320
2003-06-01	306
2003-09-01	324
2003-12-01	320
2004-03-01	321
2004-06-01	322
2004-09-01	320
2004-12-01	328
2005-03-01	318
2005-06-01	311
2005-09-01	315
2005-12-01	312
2006-03-01	316
2006-06-01	335
2006-09-01	330
2006-12-01	329
2007-03-01	338
2007-06-01	347
2007-09-01	347
2007-12-01	353
2008-03-01	353
2008-06-01	344
2008-09-01	360
2008-12-01	349
2009-03-01	350
2009-06-01	353
2009-09-01	355
2009-12-01	350
2010-03-01	356
2010-06-01	369
2010-09-01	386
2010-12-01	381
2011-03-01	377
2011-06-01	378
2011-09-01	355
2011-12-01	341
2012-03-01	362
2012-06-01	391
2012-09-01	423
2012-12-01	390
2013-03-01	384
2013-06-01	389
2013-09-01	382
2013-12-01	397
2014-03-01	398
2014-06-01	392
2014-09-01	433
2014-12-01	430
2015-03-01	409
2015-06-01	415
2015-09-01	429
2015-12-01	445
2016-03-01	470
2016-06-01	460
2016-09-01	470
2016-12-01	442
2017-03-01	452
2017-06-01	464
2017-09-01	459
2017-12-01	491
2018-03-01	474
2018-06-01	466
2018-09-01	479
2018-12-01	505
2019-03-01	497
2019-06-01	500
2019-09-01	514
2019-12-01	510
2020-03-01	542
2020-06-01	534
2020-09-01	532
2020-12-01	539
2021-03-01	550
2021-06-01	553
2021-09-01	526
2021-12-01	520
2022-03-01	514
2022-06-01	554
