date	value
1972-09-01	
1972-12-01	
1973-03-01	
1973-06-01	
1973-09-01	
1973-12-01	
1974-03-01	
1974-06-01	
1974-09-01	
1974-12-01	
1975-03-01	
1975-06-01	
1975-09-01	
1975-12-01	
1976-03-01	
1976-06-01	
1976-09-01	
1976-12-01	
1977-03-01	
1977-06-01	
1977-09-01	
1977-12-01	
1978-03-01	
1978-06-01	
1978-09-01	
1978-12-01	
1979-03-01	
1979-06-01	
1979-09-01	
1979-12-01	
1980-03-01	
1980-06-01	
1980-09-01	14.9
1980-12-01	15.2
1981-03-01	15.5
1981-06-01	15.9
1981-09-01	16.3
1981-12-01	16.6
1982-03-01	16.9
1982-06-01	17.7
1982-09-01	18.1
1982-12-01	18.5
1983-03-01	18.8
1983-06-01	19
1983-09-01	19.4
1983-12-01	20
1984-03-01	20.5
1984-06-01	21
1984-09-01	21.2
1984-12-01	21.9
1985-03-01	22.3
1985-06-01	22.9
1985-09-01	23.5
1985-12-01	24
1986-03-01	24.6
1986-06-01	25.1
1986-09-01	26
1986-12-01	26.6
1987-03-01	27.4
1987-06-01	28.1
1987-09-01	28.9
1987-12-01	29.4
1988-03-01	29.9
1988-06-01	30.9
1988-09-01	31.4
1988-12-01	32.4
1989-03-01	33.2
1989-06-01	33.8
1989-09-01	34.5
1989-12-01	35.4
1990-03-01	36
1990-06-01	36.9
1990-09-01	37.6
1990-12-01	38.2
1991-03-01	39.1
1991-06-01	39.7
1991-09-01	40.4
1991-12-01	40.9
1992-03-01	41.3
1992-06-01	41.5
1992-09-01	41.7
1992-12-01	42.2
1993-03-01	42.7
1993-06-01	43
1993-09-01	43.4
1993-12-01	43.9
1994-03-01	44.3
1994-06-01	44.8
1994-09-01	45.3
1994-12-01	45.7
1995-03-01	46.2
1995-06-01	46.9
1995-09-01	47.2
1995-12-01	47.9
1996-03-01	48.4
1996-06-01	49
1996-09-01	49.5
1996-12-01	49.8
1997-03-01	50.3
1997-06-01	51.1
1997-09-01	51.5
1997-12-01	52
1998-03-01	52.6
1998-06-01	53
1998-09-01	53.4
1998-12-01	53.6
1999-03-01	54
1999-06-01	54.7
1999-09-01	55.1
1999-12-01	56.4
2000-03-01	57.6
2000-06-01	58.4
2000-09-01	59.2
2000-12-01	59.7
2001-03-01	60.3
2001-06-01	60.9
2001-09-01	61.8
2001-12-01	62.6
2002-03-01	63.2
2002-06-01	64
2002-09-01	65.1
2002-12-01	65.8
2003-03-01	66.7
2003-06-01	67.5
2003-09-01	68.4
2003-12-01	69.6
2004-03-01	70.6
2004-06-01	71.2
2004-09-01	72
2004-12-01	73.1
2005-03-01	74.3
2005-06-01	75.5
2005-09-01	76.2
2005-12-01	77.1
2006-03-01	78.4
2006-06-01	79.5
2006-09-01	80.7
2006-12-01	81.4
2007-03-01	81.9
2007-06-01	83.1
2007-09-01	84.4
2007-12-01	85.5
2008-03-01	86.4
2008-06-01	87.5
2008-09-01	88.2
2008-12-01	89.2
2009-03-01	90.5
2009-06-01	91.2
2009-09-01	91.9
2009-12-01	93
2010-03-01	94
2010-06-01	94.8
2010-09-01	95.4
2010-12-01	96.2
2011-03-01	96.6
2011-06-01	97.3
2011-09-01	98.5
2011-12-01	99.5
2012-03-01	100.6
2012-06-01	101.4
2012-09-01	102.4
2012-12-01	102.9
2013-03-01	103.3
2013-06-01	104
2013-09-01	104.1
2013-12-01	104.7
2014-03-01	105.7
2014-06-01	106.8
2014-09-01	107.8
2014-12-01	108.3
2015-03-01	108.7
2015-06-01	109
2015-09-01	109.6
2015-12-01	110.1
2016-03-01	110.6
2016-06-01	110.9
2016-09-01	110.9
2016-12-01	111
2017-03-01	111.1
2017-06-01	111.8
2017-09-01	112.1
2017-12-01	112.4
2018-03-01	112.5
2018-06-01	112.7
2018-09-01	113
2018-12-01	113.9
2019-03-01	114.9
2019-06-01	115.3
2019-09-01	116.1
2019-12-01	116.6
2020-03-01	116.8
2020-06-01	117.2
2020-09-01	117.4
2020-12-01	117.8
2021-03-01	118.3
2021-06-01	118.6
2021-09-01	118.6
2021-12-01	118.9
2022-03-01	119.9
2022-06-01	121
2022-09-01	122.2
2022-12-01	123.6
2023-03-01	124.5
2023-06-01	125.4
2023-09-01	128.1
2023-12-01	128.5
2024-03-01	129.9
2024-06-01	130.9
2024-09-01	131.5
2024-12-01	132.2
2025-03-01	132.7
2025-06-01	133.6
2025-09-01	135.6
2025-12-01	136.3
2026-03-01	
2026-06-01	
2026-09-01	
2026-12-01	
