date	value
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	160
1985-12-01	143
1986-03-01	137
1986-06-01	162
1986-09-01	168
1986-12-01	163
1987-03-01	157
1987-06-01	179
1987-09-01	163
1987-12-01	152
1988-03-01	153
1988-06-01	167
1988-09-01	184
1988-12-01	158
1989-03-01	155
1989-06-01	185
1989-09-01	178
1989-12-01	157
1990-03-01	152
1990-06-01	162
1990-09-01	155
1990-12-01	151
1991-03-01	145
1991-06-01	161
1991-09-01	169
1991-12-01	146
1992-03-01	150
1992-06-01	164
1992-09-01	152
1992-12-01	138
1993-03-01	132
1993-06-01	143
1993-09-01	163
1993-12-01	144
1994-03-01	140
1994-06-01	148
1994-09-01	168
1994-12-01	146
1995-03-01	151
1995-06-01	156
1995-09-01	174
1995-12-01	157
1996-03-01	157
1996-06-01	163
1996-09-01	170
1996-12-01	157
1997-03-01	146
1997-06-01	179
1997-09-01	181
1997-12-01	168
1998-03-01	149
1998-06-01	149
1998-09-01	173
1998-12-01	148
1999-03-01	138
1999-06-01	158
1999-09-01	164
1999-12-01	153
2000-03-01	146
2000-06-01	174
2000-09-01	184
2000-12-01	153
2001-03-01	167
2001-06-01	195
2001-09-01	201
2001-12-01	185
2002-03-01	166
2002-06-01	185
2002-09-01	197
2002-12-01	184
2003-03-01	173
2003-06-01	193
2003-09-01	161
2003-12-01	148
2004-03-01	151
2004-06-01	167
2004-09-01	164
2004-12-01	161
2005-03-01	146
2005-06-01	174
2005-09-01	177
2005-12-01	183
2006-03-01	164
2006-06-01	171
2006-09-01	198
2006-12-01	190
2007-03-01	185
2007-06-01	196
2007-09-01	205
2007-12-01	194
2008-03-01	188
2008-06-01	204
2008-09-01	223
2008-12-01	206
2009-03-01	206
2009-06-01	211
2009-09-01	227
2009-12-01	225
2010-03-01	207
2010-06-01	227
2010-09-01	231
2010-12-01	227
2011-03-01	224
2011-06-01	232
2011-09-01	242
2011-12-01	232
2012-03-01	238
2012-06-01	237
2012-09-01	245
2012-12-01	243
2013-03-01	243
2013-06-01	266
2013-09-01	266
2013-12-01	256
2014-03-01	256
2014-06-01	268
2014-09-01	278
2014-12-01	271
2015-03-01	266
2015-06-01	287
2015-09-01	297
2015-12-01	268
2016-03-01	255
2016-06-01	289
2016-09-01	291
2016-12-01	285
2017-03-01	291
2017-06-01	306
2017-09-01	302
2017-12-01	281
2018-03-01	264
2018-06-01	295
2018-09-01	299
2018-12-01	288
2019-03-01	306
2019-06-01	326
2019-09-01	321
2019-12-01	309
2020-03-01	300
2020-06-01	222
2020-09-01	335
2020-12-01	316
2021-03-01	318
2021-06-01	355
2021-09-01	349
2021-12-01	332
2022-03-01	313
2022-06-01	349
2022-09-01	356
2022-12-01	353
2023-03-01	352
2023-06-01	373
2023-09-01	379
2023-12-01	366
2024-03-01	361
2024-06-01	386
2024-09-01	393
2024-12-01	378
2025-03-01	376
2025-06-01	396
2025-09-01	405
