date	value
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	281
1985-12-01	361
1986-03-01	245
1986-06-01	269
1986-09-01	281
1986-12-01	347
1987-03-01	246
1987-06-01	281
1987-09-01	282
1987-12-01	374
1988-03-01	281
1988-06-01	301
1988-09-01	282
1988-12-01	363
1989-03-01	265
1989-06-01	310
1989-09-01	308
1989-12-01	393
1990-03-01	292
1990-06-01	320
1990-09-01	305
1990-12-01	400
1991-03-01	288
1991-06-01	303
1991-09-01	315
1991-12-01	371
1992-03-01	304
1992-06-01	313
1992-09-01	315
1992-12-01	386
1993-03-01	306
1993-06-01	312
1993-09-01	320
1993-12-01	399
1994-03-01	310
1994-06-01	326
1994-09-01	344
1994-12-01	431
1995-03-01	334
1995-06-01	356
1995-09-01	338
1995-12-01	412
1996-03-01	350
1996-06-01	362
1996-09-01	355
1996-12-01	412
1997-03-01	337
1997-06-01	355
1997-09-01	354
1997-12-01	413
1998-03-01	347
1998-06-01	360
1998-09-01	347
1998-12-01	401
1999-03-01	337
1999-06-01	341
1999-09-01	354
1999-12-01	431
2000-03-01	348
2000-06-01	392
2000-09-01	372
2000-12-01	473
2001-03-01	389
2001-06-01	388
2001-09-01	395
2001-12-01	485
2002-03-01	394
2002-06-01	428
2002-09-01	429
2002-12-01	529
2003-03-01	425
2003-06-01	438
2003-09-01	424
2003-12-01	547
2004-03-01	445
2004-06-01	452
2004-09-01	475
2004-12-01	610
2005-03-01	476
2005-06-01	481
2005-09-01	457
2005-12-01	546
2006-03-01	437
2006-06-01	460
2006-09-01	479
2006-12-01	610
2007-03-01	502
2007-06-01	511
2007-09-01	525
2007-12-01	649
2008-03-01	525
2008-06-01	551
2008-09-01	551
2008-12-01	708
2009-03-01	542
2009-06-01	577
2009-09-01	535
2009-12-01	669
2010-03-01	519
2010-06-01	564
2010-09-01	570
2010-12-01	712
2011-03-01	547
2011-06-01	577
2011-09-01	572
2011-12-01	723
2012-03-01	548
2012-06-01	587
2012-09-01	591
2012-12-01	750
2013-03-01	603
2013-06-01	620
2013-09-01	618
2013-12-01	737
2014-03-01	597
2014-06-01	634
2014-09-01	621
2014-12-01	802
2015-03-01	648
2015-06-01	666
2015-09-01	654
2015-12-01	841
2016-03-01	660
2016-06-01	683
2016-09-01	683
2016-12-01	891
2017-03-01	730
2017-06-01	742
2017-09-01	713
2017-12-01	945
2018-03-01	757
2018-06-01	771
2018-09-01	729
2018-12-01	900
2019-03-01	688
2019-06-01	679
2019-09-01	670
2019-12-01	860
2020-03-01	680
2020-06-01	792
2020-09-01	804
2020-12-01	968
2021-03-01	757
2021-06-01	788
2021-09-01	703
2021-12-01	1036
2022-03-01	792
