date	value
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	467
1985-12-01	471
1986-03-01	475
1986-06-01	479
1986-09-01	483
1986-12-01	486
1987-03-01	489
1987-06-01	493
1987-09-01	495
1987-12-01	498
1988-03-01	501
1988-06-01	504
1988-09-01	508
1988-12-01	512
1989-03-01	516
1989-06-01	521
1989-09-01	527
1989-12-01	532
1990-03-01	537
1990-06-01	542
1990-09-01	546
1990-12-01	551
1991-03-01	555
1991-06-01	559
1991-09-01	562
1991-12-01	566
1992-03-01	570
1992-06-01	574
1992-09-01	578
1992-12-01	583
1993-03-01	587
1993-06-01	591
1993-09-01	596
1993-12-01	601
1994-03-01	605
1994-06-01	610
1994-09-01	615
1994-12-01	619
1995-03-01	623
1995-06-01	627
1995-09-01	631
1995-12-01	634
1996-03-01	637
1996-06-01	641
1996-09-01	643
1996-12-01	645
1997-03-01	648
1997-06-01	651
1997-09-01	654
1997-12-01	657
1998-03-01	660
1998-06-01	663
1998-09-01	667
1998-12-01	671
1999-03-01	674
1999-06-01	679
1999-09-01	684
1999-12-01	689
2000-03-01	692
2000-06-01	696
2000-09-01	699
2000-12-01	703
2001-03-01	706
2001-06-01	709
2001-09-01	711
2001-12-01	714
2002-03-01	717
2002-06-01	722
2002-09-01	727
2002-12-01	733
2003-03-01	738
2003-06-01	745
2003-09-01	752
2003-12-01	759
2004-03-01	765
2004-06-01	771
2004-09-01	777
2004-12-01	782
2005-03-01	787
2005-06-01	792
2005-09-01	797
2005-12-01	803
2006-03-01	807
2006-06-01	811
2006-09-01	815
2006-12-01	819
2007-03-01	822
2007-06-01	826
2007-09-01	830
2007-12-01	834
2008-03-01	837
2008-06-01	841
2008-09-01	844
2008-12-01	848
2009-03-01	851
2009-06-01	855
2009-09-01	858
2009-12-01	862
2010-03-01	867
2010-06-01	871
2010-09-01	875
2010-12-01	879
2011-03-01	882
2011-06-01	885
2011-09-01	887
2011-12-01	888
2012-03-01	889
2012-06-01	890
2012-09-01	890
2012-12-01	891
2013-03-01	892
2013-06-01	893
2013-09-01	894
2013-12-01	897
2014-03-01	898
2014-06-01	900
2014-09-01	902
2014-12-01	904
2015-03-01	906
2015-06-01	909
2015-09-01	912
2015-12-01	914
2016-03-01	917
2016-06-01	921
2016-09-01	924
2016-12-01	929
2017-03-01	932
2017-06-01	936
2017-09-01	940
2017-12-01	945
2018-03-01	949
2018-06-01	954
2018-09-01	959
2018-12-01	964
2019-03-01	968
2019-06-01	971
2019-09-01	974
2019-12-01	979
2020-03-01	983
2020-06-01	987
2020-09-01	992
2020-12-01	997
2021-03-01	1002
2021-06-01	1005
2021-09-01	1008
2021-12-01	1012
2022-03-01	1014
