date	value
1978-02-01	404207
1978-03-01	403910
1978-04-01	403306
1978-05-01	403040
1978-06-01	403072
1978-07-01	403426
1978-08-01	403989
1978-09-01	404610
1978-10-01	404994
1978-11-01	405596
1978-12-01	406333
1979-01-01	406989
1979-02-01	407530
1979-03-01	407768
1979-04-01	407383
1979-05-01	406680
1979-06-01	405730
1979-07-01	404722
1979-08-01	403895
1979-09-01	403319
1979-10-01	402889
1979-11-01	402312
1979-12-01	401725
1980-01-01	401968
1980-02-01	403343
1980-03-01	405924
1980-04-01	409434
1980-05-01	412670
1980-06-01	414480
1980-07-01	414378
1980-08-01	412318
1980-09-01	408781
1980-10-01	404678
1980-11-01	400607
1980-12-01	396641
1981-01-01	392365
1981-02-01	387936
1981-03-01	384149
1981-04-01	381944
1981-05-01	382044
1981-06-01	384652
1981-07-01	389165
1981-08-01	394452
1981-09-01	399605
1981-10-01	404419
1981-11-01	408938
1981-12-01	413802
1982-01-01	419435
1982-02-01	425930
1982-03-01	433110
1982-04-01	440846
1982-05-01	450182
1982-06-01	462913
1982-07-01	480995
1982-08-01	505390
1982-09-01	535223
1982-10-01	567667
1982-11-01	599831
1982-12-01	629667
1983-01-01	655439
1983-02-01	676869
1983-03-01	694097
1983-04-01	707603
1983-05-01	717770
1983-06-01	723903
1983-07-01	724901
1983-08-01	720556
1983-09-01	711978
1983-10-01	700655
1983-11-01	688524
1983-12-01	676995
1984-01-01	667782
1984-02-01	661363
1984-03-01	656922
1984-04-01	653378
1984-05-01	649419
1984-06-01	644558
1984-07-01	638973
1984-08-01	633076
1984-09-01	626825
1984-10-01	621150
1984-11-01	616791
1984-12-01	613826
1985-01-01	612350
1985-02-01	611800
1985-03-01	611645
1985-04-01	611090
1985-05-01	609322
1985-06-01	606183
1985-07-01	601767
1985-08-01	596260
1985-09-01	590731
1985-10-01	586356
1985-11-01	583879
1985-12-01	583745
1986-01-01	585496
1986-02-01	588344
1986-03-01	592085
1986-04-01	592786
1986-05-01	598678
1986-06-01	605775
1986-07-01	613781
1986-08-01	622073
1986-09-01	629217
1986-10-01	634269
1986-11-01	637326
1986-12-01	639051
1987-01-01	640124
1987-02-01	640656
1987-03-01	640524
1987-04-01	639091
1987-05-01	636237
1987-06-01	632409
1987-07-01	628105
1987-08-01	624034
1987-09-01	620280
1987-10-01	616005
1987-11-01	611029
1987-12-01	605876
1988-01-01	601532
1988-02-01	598372
1988-03-01	595976
1988-04-01	593506
1988-05-01	589651
1988-06-01	583101
1988-07-01	574294
1988-08-01	565057
1988-09-01	557287
1988-10-01	551917
1988-11-01	547754
1988-12-01	543590
1989-01-01	538304
1989-02-01	531413
1989-03-01	523395
1989-04-01	515083
1989-05-01	507628
1989-06-01	501638
1989-07-01	496758
1989-08-01	492648
1989-09-01	489853
1989-10-01	489208
1989-11-01	491117
1989-12-01	495619
1990-01-01	502149
1990-02-01	510984
1990-03-01	522204
1990-04-01	535735
1990-05-01	551275
1990-06-01	568796
1990-07-01	587695
1990-08-01	607249
1990-09-01	626564
1990-10-01	646293
1990-11-01	667763
1990-12-01	691925
1991-01-01	718266
1991-02-01	744838
1991-03-01	768618
1991-04-01	788307
1991-05-01	803433
1991-06-01	814305
1991-07-01	823237
1991-08-01	832542
1991-09-01	843287
1991-10-01	855192
1991-11-01	866636
1991-12-01	876203
1992-01-01	883473
1992-02-01	889610
1992-03-01	895461
1992-04-01	901379
1992-05-01	908095
1992-06-01	915972
1992-07-01	924821
1992-08-01	933937
1992-09-01	942565
1992-10-01	949021
1992-11-01	951833
1992-12-01	950075
1993-01-01	944385
1993-02-01	936695
1993-03-01	930216
1993-04-01	927270
1993-05-01	928166
1993-06-01	932324
