date	value
1978-02-01	86522
1978-03-01	77015
1978-04-01	80153
1978-05-01	72777
1978-06-01	82877
1978-07-01	75279
1978-08-01	76094
1978-09-01	78152
1978-10-01	76329
1978-11-01	79192
1978-12-01	76122
1979-01-01	74415
1979-02-01	74276
1979-03-01	77530
1979-04-01	80805
1979-05-01	77950
1979-06-01	76896
1979-07-01	75229
1979-08-01	63947
1979-09-01	68059
1979-10-01	69080
1979-11-01	66404
1979-12-01	71693
1980-01-01	73196
1980-02-01	71964
1980-03-01	69251
1980-04-01	69077
1980-05-01	73494
1980-06-01	70389
1980-07-01	72169
1980-08-01	71167
1980-09-01	71151
1980-10-01	68160
1980-11-01	66623
1980-12-01	68274
1981-01-01	68885
1981-02-01	66136
1981-03-01	64215
1981-04-01	60938
1981-05-01	59730
1981-06-01	55597
1981-07-01	62730
1981-08-01	63101
1981-09-01	64853
1981-10-01	67817
1981-11-01	73371
1981-12-01	74130
1982-01-01	74121
1982-02-01	82644
1982-03-01	77803
1982-04-01	80877
1982-05-01	84700
1982-06-01	88176
1982-07-01	95073
1982-08-01	96760
1982-09-01	111039
1982-10-01	125811
1982-11-01	134447
1982-12-01	150125
1983-01-01	144131
1983-02-01	151511
1983-03-01	163633
1983-04-01	164792
1983-05-01	161786
1983-06-01	167015
1983-07-01	170107
1983-08-01	171932
1983-09-01	170345
1983-10-01	168560
1983-11-01	154428
1983-12-01	149130
1984-01-01	150301
1984-02-01	144557
1984-03-01	145727
1984-04-01	143849
1984-05-01	144542
1984-06-01	144667
1984-07-01	136282
1984-08-01	146868
1984-09-01	138694
1984-10-01	134743
1984-11-01	136129
1984-12-01	131997
1985-01-01	132295
1985-02-01	130622
1985-03-01	140418
1985-04-01	136730
1985-05-01	140822
1985-06-01	144048
1985-07-01	135533
1985-08-01	140095
1985-09-01	130473
1985-10-01	121191
1985-11-01	123915
1985-12-01	123712
1986-01-01	123563
1986-02-01	128692
1986-03-01	125242
1986-04-01	129596
1986-05-01	126226
1986-06-01	124920
1986-07-01	127356
1986-08-01	128322
1986-09-01	130305
1986-10-01	132920
1986-11-01	138785
1986-12-01	138487
1987-01-01	137635
1987-02-01	137682
1987-03-01	135442
1987-04-01	133725
1987-05-01	134948
1987-06-01	137081
1987-07-01	140150
1987-08-01	130079
1987-09-01	131323
1987-10-01	133932
1987-11-01	125024
1987-12-01	118465
1988-01-01	116083
1988-02-01	108759
1988-03-01	116890
1988-04-01	126970
1988-05-01	118395
1988-06-01	119753
1988-07-01	112108
1988-08-01	115376
1988-09-01	113717
1988-10-01	109111
1988-11-01	103613
1988-12-01	108102
1989-01-01	112339
1989-02-01	105945
1989-03-01	102914
1989-04-01	96610
1989-05-01	103572
1989-06-01	98616
1989-07-01	96741
1989-08-01	92396
1989-09-01	100937
1989-10-01	92921
1989-11-01	85806
1989-12-01	93619
1990-01-01	99247
1990-02-01	99987
1990-03-01	100320
1990-04-01	98892
1990-05-01	97324
1990-06-01	96828
1990-07-01	110128
