date	value
1978-02-01	342485
1978-03-01	341377
1978-04-01	340600
1978-05-01	340625
1978-06-01	342591
1978-07-01	338220
1978-08-01	340814
1978-09-01	340659
1978-10-01	340159
1978-11-01	338459
1978-12-01	340327
1979-01-01	339366
1979-02-01	340827
1979-03-01	346010
1979-04-01	343107
1979-05-01	344418
1979-06-01	343668
1979-07-01	340836
1979-08-01	346964
1979-09-01	345390
1979-10-01	345203
1979-11-01	344748
1979-12-01	345558
1980-01-01	345388
1980-02-01	346955
1980-03-01	352573
1980-04-01	351093
1980-05-01	351830
1980-06-01	353171
1980-07-01	356621
1980-08-01	357336
1980-09-01	359588
1980-10-01	360075
1980-11-01	363344
1980-12-01	363204
1981-01-01	365439
1981-02-01	366126
1981-03-01	365338
1981-04-01	363031
1981-05-01	364276
1981-06-01	365407
1981-07-01	364201
1981-08-01	362809
1981-09-01	362570
1981-10-01	363085
1981-11-01	364069
1981-12-01	366813
1982-01-01	368228
1982-02-01	368386
1982-03-01	369207
1982-04-01	370079
1982-05-01	368584
1982-06-01	367547
1982-07-01	366271
1982-08-01	365869
1982-09-01	365759
1982-10-01	366947
1982-11-01	366511
1982-12-01	363891
1983-01-01	362008
1983-02-01	360033
1983-03-01	360090
1983-04-01	357986
1983-05-01	360258
1983-06-01	361305
1983-07-01	363084
1983-08-01	363512
1983-09-01	363598
1983-10-01	364797
1983-11-01	361666
1983-12-01	364432
1984-01-01	365683
1984-02-01	367255
1984-03-01	365384
1984-04-01	370714
1984-05-01	371550
1984-06-01	370571
1984-07-01	368668
1984-08-01	373199
1984-09-01	372572
1984-10-01	371219
1984-11-01	376813
1984-12-01	377014
1985-01-01	379948
1985-02-01	381376
1985-03-01	382676
1985-04-01	385500
1985-05-01	386041
1985-06-01	386240
1985-07-01	384298
1985-08-01	386912
1985-09-01	392110
1985-10-01	391200
1985-11-01	395315
1985-12-01	391390
1986-01-01	398528
1986-02-01	398079
1986-03-01	398444
1986-04-01	399723
1986-05-01	399588
1986-06-01	400094
1986-07-01	401136
1986-08-01	400523
1986-09-01	399486
1986-10-01	398951
1986-11-01	396284
1986-12-01	397930
1987-01-01	395564
1987-02-01	399308
1987-03-01	402395
1987-04-01	402998
1987-05-01	406336
1987-06-01	411817
1987-07-01	417644
1987-08-01	416359
1987-09-01	414712
1987-10-01	420658
1987-11-01	417545
1987-12-01	414416
1988-01-01	420790
1988-02-01	423441
1988-03-01	424774
1988-04-01	425611
1988-05-01	426052
1988-06-01	427029
1988-07-01	432624
1988-08-01	433392
1988-09-01	436485
1988-10-01	437970
1988-11-01	440061
