date	value
1978-02-01	94340
1978-03-01	94780
1978-04-01	95145
1978-05-01	95500
1978-06-01	95821
1978-07-01	96058
1978-08-01	96141
1978-09-01	96050
1978-10-01	95800
1978-11-01	95399
1978-12-01	94829
1979-01-01	94152
1979-02-01	93518
1979-03-01	93045
1979-04-01	92877
1979-05-01	93042
1979-06-01	93455
1979-07-01	94035
1979-08-01	94688
1979-09-01	95279
1979-10-01	95792
1979-11-01	96311
1979-12-01	96907
1980-01-01	97578
1980-02-01	98228
1980-03-01	98794
1980-04-01	99176
1980-05-01	99371
1980-06-01	99423
1980-07-01	99386
1980-08-01	99337
1980-09-01	99338
1980-10-01	99402
1980-11-01	99496
1980-12-01	99667
1981-01-01	99970
1981-02-01	100391
1981-03-01	100861
1981-04-01	101315
1981-05-01	101678
1981-06-01	101981
1981-07-01	102286
1981-08-01	102672
1981-09-01	103174
1981-10-01	103677
1981-11-01	103998
1981-12-01	103968
1982-01-01	103551
1982-02-01	102866
1982-03-01	102043
1982-04-01	101234
1982-05-01	100580
1982-06-01	100126
1982-07-01	99873
1982-08-01	99817
1982-09-01	99914
1982-10-01	100215
1982-11-01	100715
1982-12-01	101365
1983-01-01	102068
1983-02-01	102767
1983-03-01	103490
1983-04-01	104280
1983-05-01	105135
1983-06-01	106042
1983-07-01	106938
1983-08-01	107762
1983-09-01	108524
1983-10-01	109174
1983-11-01	109740
1983-12-01	110245
1984-01-01	110722
1984-02-01	111245
1984-03-01	111826
1984-04-01	112451
1984-05-01	113132
1984-06-01	113811
1984-07-01	114422
1984-08-01	114933
1984-09-01	115397
1984-10-01	115901
1984-11-01	116557
1984-12-01	117337
1985-01-01	118131
1985-02-01	118741
1985-03-01	119059
1985-04-01	119180
1985-05-01	119278
1985-06-01	119538
1985-07-01	120070
1985-08-01	120823
1985-09-01	121694
1985-10-01	122569
1985-11-01	123411
1985-12-01	124204
1986-01-01	125014
1986-02-01	125882
1986-03-01	126847
1986-04-01	127767
1986-05-01	128487
1986-06-01	128914
1986-07-01	128988
1986-08-01	128624
1986-09-01	127820
1986-10-01	126762
1986-11-01	125653
1986-12-01	124802
1987-01-01	124426
1987-02-01	124638
1987-03-01	125412
1987-04-01	126573
1987-05-01	127890
1987-06-01	129136
1987-07-01	130277
1987-08-01	131350
1987-09-01	132445
1987-10-01	133617
1987-11-01	134941
1987-12-01	136382
1988-01-01	137757
1988-02-01	138821
1988-03-01	139391
1988-04-01	139491
1988-05-01	139159
1988-06-01	138536
1988-07-01	137863
1988-08-01	137403
1988-09-01	137264
1988-10-01	137379
1988-11-01	137586
1988-12-01	137780
1989-01-01	138017
1989-02-01	138348
1989-03-01	138800
1989-04-01	139353
1989-05-01	140037
1989-06-01	140787
1989-07-01	141487
1989-08-01	142078
1989-09-01	142560
1989-10-01	142907
1989-11-01	143056
1989-12-01	143016
1990-01-01	142876
1990-02-01	142808
1990-03-01	142928
1990-04-01	143194
1990-05-01	143530
1990-06-01	143843
1990-07-01	144046
1990-08-01	144135
1990-09-01	144158
1990-10-01	144244
1990-11-01	144569
1990-12-01	145117
1991-01-01	145707
1991-02-01	146169
1991-03-01	146425
1991-04-01	146466
1991-05-01	146300
1991-06-01	146009
1991-07-01	145679
1991-08-01	145363
1991-09-01	145107
1991-10-01	144960
1991-11-01	144869
1991-12-01	144834
1992-01-01	144872
1992-02-01	144924
1992-03-01	144907
1992-04-01	144842
1992-05-01	144855
1992-06-01	145101
1992-07-01	145658
1992-08-01	146557
1992-09-01	147680
1992-10-01	148863
1992-11-01	149980
1992-12-01	150993
1993-01-01	151819
1993-02-01	152393
1993-03-01	152730
1993-04-01	152856
1993-05-01	152843
1993-06-01	152780
1993-07-01	152803
1993-08-01	152953
1993-09-01	153245
1993-10-01	153672
1993-11-01	154107
1993-12-01	154429
1994-01-01	154612
1994-02-01	154736
1994-03-01	154874
1994-04-01	155074
1994-05-01	155363
1994-06-01	155682
1994-07-01	155994
1994-08-01	156194
1994-09-01	156231
1994-10-01	156053
1994-11-01	155738
1994-12-01	155440
1995-01-01	155294
1995-02-01	155395
1995-03-01	155802
1995-04-01	156541
1995-05-01	157497
1995-06-01	158487
1995-07-01	159336
1995-08-01	160038
1995-09-01	160594
1995-10-01	160967
1995-11-01	161154
1995-12-01	161071
1996-01-01	160719
1996-02-01	160177
1996-03-01	159448
1996-04-01	158618
1996-05-01	157841
1996-06-01	157217
1996-07-01	156697
1996-08-01	156252
1996-09-01	155878
1996-10-01	155659
1996-11-01	155612
1996-12-01	155839
1997-01-01	156326
1997-02-01	156950
1997-03-01	157576
1997-04-01	158077
1997-05-01	158302
1997-06-01	158319
1997-07-01	158235
1997-08-01	158080
1997-09-01	157920
1997-10-01	157892
1997-11-01	158031
1997-12-01	158268
1998-01-01	158569
1998-02-01	158968
1998-03-01	159437
1998-04-01	159866
1998-05-01	160142
1998-06-01	160234
1998-07-01	160189
1998-08-01	160123
1998-09-01	160146
1998-10-01	160254
1998-11-01	160506
1998-12-01	160919
1999-01-01	161391
1999-02-01	161846
1999-03-01	162295
1999-04-01	162804
1999-05-01	163460
1999-06-01	164219
1999-07-01	165009
1999-08-01	165755
1999-09-01	166464
1999-10-01	167135
1999-11-01	167802
1999-12-01	168422
2000-01-01	168971
2000-02-01	169396
2000-03-01	169757
2000-04-01	170143
2000-05-01	170629
2000-06-01	171345
2000-07-01	172240
2000-08-01	173132
2000-09-01	173730
2000-10-01	173918
2000-11-01	173722
2000-12-01	173269
2001-01-01	172806
2001-02-01	172538
2001-03-01	172464
2001-04-01	172520
2001-05-01	172642
2001-06-01	172659
2001-07-01	172596
2001-08-01	172552
2001-09-01	172558
2001-10-01	172641
2001-11-01	172759
2001-12-01	172927
2002-01-01	173126
2002-02-01	173414
2002-03-01	173879
2002-04-01	174525
2002-05-01	175298
2002-06-01	176130
2002-07-01	176909
2002-08-01	177513
2002-09-01	177976
2002-10-01	178265
2002-11-01	178411
2002-12-01	178452
2003-01-01	178421
2003-02-01	178274
2003-03-01	177960
2003-04-01	177525
2003-05-01	177059
2003-06-01	176663
2003-07-01	176499
2003-08-01	176597
2003-09-01	176875
2003-10-01	177268
2003-11-01	177707
2003-12-01	178119
2004-01-01	178545
2004-02-01	178981
2004-03-01	179406
2004-04-01	179751
2004-05-01	179898
2004-06-01	179909
