date	value
1978-02-01	117379
1978-03-01	109499
1978-04-01	105609
1978-05-01	102873
1978-06-01	102903
1978-07-01	106577
1978-08-01	108526
1978-09-01	102829
1978-10-01	100515
1978-11-01	108297
1978-12-01	123025
1979-01-01	111392
1979-02-01	110652
1979-03-01	111360
1979-04-01	114028
1979-05-01	116438
1979-06-01	118487
1979-07-01	116269
1979-08-01	113282
1979-09-01	119811
1979-10-01	119581
1979-11-01	116426
1979-12-01	114382
1980-01-01	114013
1980-02-01	109713
1980-03-01	108405
1980-04-01	115436
1980-05-01	120173
1980-06-01	122846
1980-07-01	116521
1980-08-01	119843
1980-09-01	116658
1980-10-01	115510
1980-11-01	115432
1980-12-01	116283
1981-01-01	112247
1981-02-01	104197
1981-03-01	107091
1981-04-01	106449
1981-05-01	104667
1981-06-01	101367
1981-07-01	119070
1981-08-01	109541
1981-09-01	107618
1981-10-01	101969
1981-11-01	104955
1981-12-01	109491
1982-01-01	116308
1982-02-01	115160
1982-03-01	113595
1982-04-01	114682
1982-05-01	119021
1982-06-01	121080
1982-07-01	117192
1982-08-01	109182
1982-09-01	116283
1982-10-01	134601
1982-11-01	138499
1982-12-01	143105
1983-01-01	141614
1983-02-01	145970
1983-03-01	143420
1983-04-01	146149
1983-05-01	150080
1983-06-01	142280
1983-07-01	144694
1983-08-01	145131
1983-09-01	148651
1983-10-01	141639
1983-11-01	140070
1983-12-01	137676
1984-01-01	137337
1984-02-01	139927
1984-03-01	137048
1984-04-01	144332
1984-05-01	134200
1984-06-01	140143
1984-07-01	137277
1984-08-01	128343
1984-09-01	128589
1984-10-01	126387
1984-11-01	139791
1984-12-01	128762
1985-01-01	127885
1985-02-01	130082
1985-03-01	130894
1985-04-01	124355
1985-05-01	128187
1985-06-01	126830
1985-07-01	122133
1985-08-01	122102
1985-09-01	129620
1985-10-01	119663
1985-11-01	128944
1985-12-01	127717
1986-01-01	128032
1986-02-01	125204
1986-03-01	125434
1986-04-01	131591
1986-05-01	130069
1986-06-01	127005
1986-07-01	132512
1986-08-01	132031
1986-09-01	137143
1986-10-01	137574
1986-11-01	134346
1986-12-01	134830
1987-01-01	132659
1987-02-01	132343
1987-03-01	137628
1987-04-01	137831
1987-05-01	130197
1987-06-01	130520
1987-07-01	133742
1987-08-01	133312
1987-09-01	127176
1987-10-01	129565
1987-11-01	129510
1987-12-01	126917
1988-01-01	128468
1988-02-01	117598
1988-03-01	127543
1988-04-01	130221
1988-05-01	118808
1988-06-01	129813
1988-07-01	106404
1988-08-01	125595
1988-09-01	112219
1988-10-01	114397
1988-11-01	108770
1988-12-01	119618
1989-01-01	113853
1989-02-01	110915
1989-03-01	108172
1989-04-01	104336
1989-05-01	113955
1989-06-01	107458
1989-07-01	109709
1989-08-01	106251
1989-09-01	108655
1989-10-01	109274
1989-11-01	98120
1989-12-01	101823
1990-01-01	110612
1990-02-01	113992
1990-03-01	108735
1990-04-01	111576
1990-05-01	113258
1990-06-01	110030
1990-07-01	121058
1990-08-01	122817
1990-09-01	123477
1990-10-01	126646
1990-11-01	128011
1990-12-01	135659
1991-01-01	136438
1991-02-01	131177
1991-03-01	140052
1991-04-01	151493
1991-05-01	152629
1991-06-01	146661
1991-07-01	146907
1991-08-01	147044
1991-09-01	151365
1991-10-01	145144
1991-11-01	154313
1991-12-01	159226
1992-01-01	149867
1992-02-01	153827
1992-03-01	157243
1992-04-01	153224
1992-05-01	158553
1992-06-01	161798
1992-07-01	160363
1992-08-01	168134
1992-09-01	153599
1992-10-01	159596
1992-11-01	156293
1992-12-01	159836
1993-01-01	149868
1993-02-01	148780
1993-03-01	149866
1993-04-01	142392
1993-05-01	144173
1993-06-01	154029
1993-07-01	147334
1993-08-01	149940
1993-09-01	156487
1993-10-01	158016
1993-11-01	157157
1993-12-01	154273
1994-01-01	165563
1994-02-01	153604
1994-03-01	158875
1994-04-01	151036
1994-05-01	142617
1994-06-01	149609
1994-07-01	148210
1994-08-01	144906
1994-09-01	145461
1994-10-01	133422
1994-11-01	128140
1994-12-01	131336
1995-01-01	135436
1995-02-01	145184
1995-03-01	137922
1995-04-01	130545
1995-05-01	137906
1995-06-01	130436
1995-07-01	128864
1995-08-01	136764
1995-09-01	130505
1995-10-01	138447
1995-11-01	138756
1995-12-01	130645
1996-01-01	134867
1996-02-01	134310
1996-03-01	130101
1996-04-01	135701
1996-05-01	133132
1996-06-01	123773
1996-07-01	145897
1996-08-01	134968
1996-09-01	134118
1996-10-01	134153
1996-11-01	125427
1996-12-01	138219
1997-01-01	125481
1997-02-01	134216
1997-03-01	126623
1997-04-01	129322
1997-05-01	128984
