date	value
1978-02-01	346740
1978-03-01	346642
1978-04-01	346541
1978-05-01	346548
1978-06-01	346625
1978-07-01	346805
1978-08-01	347258
1978-09-01	347969
1978-10-01	348788
1978-11-01	349780
1978-12-01	350875
1979-01-01	351886
1979-02-01	352481
1979-03-01	352725
1979-04-01	352802
1979-05-01	352921
1979-06-01	353295
1979-07-01	354183
1979-08-01	355568
1979-09-01	357414
1979-10-01	359362
1979-11-01	360785
1979-12-01	361424
1980-01-01	361481
1980-02-01	361453
1980-03-01	361729
1980-04-01	362374
1980-05-01	363208
1980-06-01	363767
1980-07-01	363757
1980-08-01	363387
1980-09-01	363063
1980-10-01	363458
1980-11-01	365170
1980-12-01	368110
1981-01-01	371587
1981-02-01	374731
1981-03-01	376714
1981-04-01	377211
1981-05-01	376283
1981-06-01	374370
1981-07-01	371799
1981-08-01	368943
1981-09-01	366394
1981-10-01	364557
1981-11-01	363421
1981-12-01	362740
1982-01-01	361906
1982-02-01	360495
1982-03-01	358477
1982-04-01	356131
1982-05-01	353999
1982-06-01	352378
1982-07-01	351062
1982-08-01	349373
1982-09-01	346231
1982-10-01	341147
1982-11-01	334340
1982-12-01	326783
1983-01-01	319839
1983-02-01	314225
1983-03-01	309990
1983-04-01	306942
1983-05-01	304659
1983-06-01	302897
1983-07-01	301796
1983-08-01	301354
1983-09-01	301464
1983-10-01	302019
1983-11-01	302813
1983-12-01	303633
1984-01-01	304309
1984-02-01	305151
1984-03-01	306503
1984-04-01	308219
1984-05-01	309718
1984-06-01	310639
1984-07-01	310691
1984-08-01	309962
1984-09-01	309035
1984-10-01	308297
1984-11-01	308033
1984-12-01	308573
1985-01-01	309930
1985-02-01	311818
1985-03-01	313811
1985-04-01	315662
1985-05-01	317470
1985-06-01	319369
1985-07-01	321390
1985-08-01	323556
1985-09-01	325624
1985-10-01	327315
1985-11-01	328753
1985-12-01	330136
1986-01-01	331714
1986-02-01	333588
1986-03-01	335599
1986-04-01	337414
1986-05-01	338647
1986-06-01	339003
1986-07-01	338627
1986-08-01	338053
1986-09-01	337674
1986-10-01	337502
1986-11-01	337442
1986-12-01	337099
1987-01-01	336525
1987-02-01	335974
1987-03-01	335761
1987-04-01	336179
1987-05-01	337220
1987-06-01	338631
1987-07-01	340231
1987-08-01	341763
1987-09-01	343132
1987-10-01	344452
1987-11-01	345652
1987-12-01	346775
1988-01-01	347746
1988-02-01	348527
1988-03-01	349194
1988-04-01	349986
1988-05-01	351236
1988-06-01	352929
1988-07-01	354695
1988-08-01	356294
1988-09-01	357881
1988-10-01	359985
1988-11-01	362880
1988-12-01	366536
1989-01-01	370828
1989-02-01	375210
1989-03-01	379058
1989-04-01	381875
1989-05-01	383513
1989-06-01	384322
1989-07-01	384593
1989-08-01	384586
1989-09-01	384418
1989-10-01	383986
1989-11-01	383229
1989-12-01	382095
1990-01-01	380329
1990-02-01	378038
1990-03-01	375476
1990-04-01	372608
1990-05-01	369578
1990-06-01	366393
1990-07-01	363077
1990-08-01	359342
1990-09-01	354982
1990-10-01	349840
1990-11-01	343803
1990-12-01	336975
1991-01-01	329632
1991-02-01	322115
1991-03-01	315004
1991-04-01	308859
1991-05-01	303892
1991-06-01	300160
1991-07-01	297631
1991-08-01	296056
1991-09-01	294834
1991-10-01	293323
1991-11-01	291318
1991-12-01	289067
1992-01-01	287010
1992-02-01	285504
1992-03-01	284652
1992-04-01	284340
