date	value
1978-02-01	4026761
1978-03-01	4029696
1978-04-01	4032096
1978-05-01	4033871
1978-06-01	4034454
1978-07-01	4033888
1978-08-01	4033003
1978-09-01	4032945
1978-10-01	4034611
1978-11-01	4038412
1978-12-01	4043486
1979-01-01	4048987
1979-02-01	4054290
1979-03-01	4059334
1979-04-01	4063825
1979-05-01	4067842
1979-06-01	4071527
1979-07-01	4075287
1979-08-01	4079542
1979-09-01	4084651
1979-10-01	4090079
1979-11-01	4095242
1979-12-01	4100082
1980-01-01	4105199
1980-02-01	4110751
1980-03-01	4117344
1980-04-01	4125169
1980-05-01	4133510
1980-06-01	4140741
1980-07-01	4146061
1980-08-01	4150001
1980-09-01	4153941
1980-10-01	4159318
1980-11-01	4166598
1980-12-01	4175116
1981-01-01	4183428
1981-02-01	4190424
1981-03-01	4195842
1981-04-01	4200144
1981-05-01	4204594
1981-06-01	4209890
1981-07-01	4215345
1981-08-01	4219832
1981-09-01	4222985
1981-10-01	4225730
1981-11-01	4228988
1981-12-01	4233360
1982-01-01	4238252
1982-02-01	4242668
1982-03-01	4245320
1982-04-01	4266137
1982-05-01	4265276
1982-06-01	4265605
1982-07-01	4269183
1982-08-01	4275753
1982-09-01	4283370
1982-10-01	4289524
1982-11-01	4292483
1982-12-01	4292719
1983-01-01	4291684
1983-02-01	4291901
1983-03-01	4294531
1983-04-01	4299927
1983-05-01	4306973
1983-06-01	4313588
1983-07-01	4318699
1983-08-01	4322417
1983-09-01	4325245
1983-10-01	4327404
1983-11-01	4329649
1983-12-01	4332522
1984-01-01	4336845
1984-02-01	4343051
1984-03-01	4350620
1984-04-01	4358781
1984-05-01	4365659
1984-06-01	4370578
1984-07-01	4372885
1984-08-01	4372423
1984-09-01	4370165
1984-10-01	4367790
1984-11-01	4366903
1984-12-01	4368404
1985-01-01	4372380
1985-02-01	4377968
1985-03-01	4384730
1985-04-01	4392383
1985-05-01	4400640
1985-06-01	4410035
1985-07-01	4420122
1985-08-01	4430905
1985-09-01	4441912
1985-10-01	4452519
1985-11-01	4462018
1985-12-01	4469564
1986-01-01	4474759
1986-02-01	4477470
1986-03-01	4477944
1986-04-01	4513909
1986-05-01	4513758
1986-06-01	4515594
1986-07-01	4520232
1986-08-01	4527395
1986-09-01	4534605
1986-10-01	4540784
1986-11-01	4545718
1986-12-01	4549709
1987-01-01	4554056
1987-02-01	4559616
1987-03-01	4566651
1987-04-01	4573636
1987-05-01	4579059
1987-06-01	4582391
1987-07-01	4584351
1987-08-01	4586433
1987-09-01	4590306
1987-10-01	4596499
1987-11-01	4605419
1987-12-01	4616634
1988-01-01	4628723
1988-02-01	4640316
1988-03-01	4650446
1988-04-01	4658301
1988-05-01	4663978
1988-06-01	4667833
1988-07-01	4671243
1988-08-01	4675531
1988-09-01	4682322
1988-10-01	4691806
1988-11-01	4702633
1988-12-01	4714019
1989-01-01	4725033
1989-02-01	4734541
1989-03-01	4743079
1989-04-01	4751740
1989-05-01	4760358
1989-06-01	4768490
1989-07-01	4775589
1989-08-01	4782260
1989-09-01	4789008
1989-10-01	4795813
1989-11-01	4802653
1989-12-01	4809595
1990-01-01	4816639
1990-02-01	4824758
1990-03-01	4833832
1990-04-01	4843757
1990-05-01	4854133
1990-06-01	4864298
1990-07-01	4873063
1990-08-01	4878410
1990-09-01	4879901
1990-10-01	4879098
1990-11-01	4877203
1990-12-01	4875228
1991-01-01	4873900
1991-02-01	4872662
1991-03-01	4869907
1991-04-01	4865851
1991-05-01	4861317
1991-06-01	4856921
1991-07-01	4853690
1991-08-01	4852631
1991-09-01	4853534
1991-10-01	4855210
1991-11-01	4857527
1991-12-01	4860120
1992-01-01	4862954
1992-02-01	4866703
1992-03-01	4872247
1992-04-01	4878328
1992-05-01	4884256
1992-06-01	4889947
1992-07-01	4894508
1992-08-01	4896992
1992-09-01	4897047
1992-10-01	4894964
1992-11-01	4891688
1992-12-01	4888464
1993-01-01	4886644
1993-02-01	4887164
1993-03-01	4890015
1993-04-01	4893988
1993-05-01	4898128
1993-06-01	4901476
1993-07-01	4905177
1993-08-01	4910079
1993-09-01	4916144
1993-10-01	4923140
1993-11-01	4929751
1993-12-01	4934858
1994-01-01	4937365
1994-02-01	4937668
1994-03-01	4937717
1994-04-01	4939862
1994-05-01	4944722
1994-06-01	4951012
1994-07-01	4956985
1994-08-01	4961318
1994-09-01	4964333
1994-10-01	4966380
1994-11-01	4968535
1994-12-01	4972406
1995-01-01	4978645
1995-02-01	4986465
1995-03-01	4994662
1995-04-01	5003043
1995-05-01	5011892
1995-06-01	5021688
1995-07-01	5031319
1995-08-01	5040288
1995-09-01	5048193
1995-10-01	5055250
1995-11-01	5061690
1995-12-01	5067132
1996-01-01	5071418
1996-02-01	5074426
1996-03-01	5076287
1996-04-01	5077009
1996-05-01	5077149
1996-06-01	5077372
1996-07-01	5078454
1996-08-01	5080234
1996-09-01	5081822
1996-10-01	5083596
1996-11-01	5085543
1996-12-01	5087756
1997-01-01	5089984
1997-02-01	5091690
1997-03-01	5091841
1997-04-01	5089961
1997-05-01	5086076
1997-06-01	5081783
1997-07-01	5078799
1997-08-01	5078488
1997-09-01	5081616
1997-10-01	5087370
1997-11-01	5094733
1997-12-01	5102286
1998-01-01	5109183
1998-02-01	5114844
1998-03-01	5118983
1998-04-01	5121775
1998-05-01	5123851
1998-06-01	5126198
1998-07-01	5129357
1998-08-01	5133622
1998-09-01	5138194
1998-10-01	5142338
1998-11-01	5145208
1998-12-01	5146629
1999-01-01	5147053
1999-02-01	5147221
1999-03-01	5148789
1999-04-01	5152344
1999-05-01	5157436
1999-06-01	5163027
1999-07-01	5168409
1999-08-01	5173727
1999-09-01	5178944
1999-10-01	5183452
1999-11-01	5187183
1999-12-01	5190105
2000-01-01	5192926
2000-02-01	5196836
2000-03-01	5202299
2000-04-01	5209577
2000-05-01	5218298
2000-06-01	5226852
2000-07-01	5233582
2000-08-01	5236513
2000-09-01	5236032
2000-10-01	5233320
2000-11-01	5230149
2000-12-01	5228731
2001-01-01	5230522
2001-02-01	5236018
2001-03-01	5245283
2001-04-01	5256895
2001-05-01	5268988
2001-06-01	5280723
2001-07-01	5290999
2001-08-01	5298702
2001-09-01	5303816
2001-10-01	5306773
2001-11-01	5308995
2001-12-01	5310900
2002-01-01	5313847
2002-02-01	5318364
2002-03-01	5324103
2002-04-01	5330592
2002-05-01	5336545
2002-06-01	5340673
2002-07-01	5343538
2002-08-01	5347330
2002-09-01	5352757
2002-10-01	5360269
2002-11-01	5369155
2002-12-01	5377858
2003-01-01	5383955
2003-02-01	5386590
2003-03-01	5386647
2003-04-01	5385507
2003-05-01	5385571
2003-06-01	5387945
2003-07-01	5392929
2003-08-01	5400159
2003-09-01	5409051
2003-10-01	5418780
2003-11-01	5428110
2003-12-01	5436952
2004-01-01	5445027
2004-02-01	5452136
2004-03-01	5457524
2004-04-01	5461460
2004-05-01	5464680
2004-06-01	5468660
2004-07-01	5474365
2004-08-01	5481424
2004-09-01	5489846
2004-10-01	5498895
2004-11-01	5508967
2004-12-01	5520185
2005-01-01	5532675
2005-02-01	5545895
2005-03-01	5559161
2005-04-01	5571811
2005-05-01	5582825
2005-06-01	5591598
2005-07-01	5598237
2005-08-01	5604137
2005-09-01	5610164
2005-10-01	5616892
2005-11-01	5624336
2005-12-01	5632139
2006-01-01	5640113
2006-02-01	5647819
2006-03-01	5655442
2006-04-01	5662970
2006-05-01	5670888
2006-06-01	5679593
2006-07-01	5688847
2006-08-01	5697884
2006-09-01	5706007
2006-10-01	5713516
2006-11-01	5721422
2006-12-01	5730508
2007-01-01	5741296
2007-02-01	5753414
2007-03-01	5765503
2007-04-01	5776831
2007-05-01	5787583
2007-06-01	5798081
2007-07-01	5808805
2007-08-01	5819997
2007-09-01	5831994
2007-10-01	5844913
2007-11-01	5857696
2007-12-01	5869906
2008-01-01	5881997
2008-02-01	5894512
2008-03-01	5908027
2008-04-01	5922099
2008-05-01	5936154
2008-06-01	5949027
2008-07-01	5959755
2008-08-01	5968343
2008-09-01	5974977
2008-10-01	5981109
2008-11-01	5987811
2008-12-01	5995314
2009-01-01	6002791
2009-02-01	6009596
2009-03-01	6015583
2009-04-01	6021101
2009-05-01	6025928
2009-06-01	6030297
2009-07-01	6034927
2009-08-01	6040388
2009-09-01	6047366
2009-10-01	6055988
2009-11-01	6065950
2009-12-01	6076945
2010-01-01	6087045
2010-02-01	6095383
2010-03-01	6101604
2010-04-01	6105980
2010-05-01	6110356
2010-06-01	6116630
2010-07-01	6125977
2010-08-01	6138114
2010-09-01	6152015
2010-10-01	6165978
2010-11-01	6177488
2010-12-01	6184723
2011-01-01	6187391
2011-02-01	6186027
2011-03-01	6182555
2011-04-01	6179923
2011-05-01	6179851
2011-06-01	6183021
2011-07-01	6188650
2011-08-01	6194897
2011-09-01	6200227
2011-10-01	6203505
2011-11-01	6204939
2011-12-01	6205398
2012-01-01	6206720
2012-02-01	6210110
2012-03-01	6215608
2012-04-01	6222287
2012-05-01	6229736
2012-06-01	6237227
2012-07-01	6244877
2012-08-01	6253361
2012-09-01	6262271
2012-10-01	6271054
2012-11-01	6279372
2012-12-01	6286655
2013-01-01	6292931
2013-02-01	6298811
2013-03-01	6304894
2013-04-01	6310886
2013-05-01	6316410
2013-06-01	6320741
2013-07-01	6323341
2013-08-01	6323437
2013-09-01	6321437
2013-10-01	6318019
2013-11-01	6314391
2013-12-01	6312237
2014-01-01	6312773
2014-02-01	6316936
2014-03-01	6325016
2014-04-01	6335270
2014-05-01	6344988
2014-06-01	6352880
2014-07-01	6359013
2014-08-01	6364536
2014-09-01	6371674
2014-10-01	6381536
2014-11-01	6393374
2014-12-01	6406234
2015-01-01	6418570
2015-02-01	6429285
2015-03-01	6438065
2015-04-01	6445093
2015-05-01	6451287
2015-06-01	6457036
2015-07-01	6461598
2015-08-01	6465520
2015-09-01	6469125
2015-10-01	6472528
2015-11-01	6476560
2015-12-01	6481115
2016-01-01	6485238
2016-02-01	6488440
2016-03-01	6489908
2016-04-01	6490583
2016-05-01	6491309
2016-06-01	6492562
2016-07-01	6495616
2016-08-01	6500122
2016-09-01	6505273
2016-10-01	6512014
2016-11-01	6520513
2016-12-01	6530376
2017-01-01	6541988
2017-02-01	6555424
2017-03-01	6569630
2017-04-01	6584105
2017-05-01	6597504
2017-06-01	6609560
2017-07-01	6620315
2017-08-01	6629712
2017-09-01	6638691
2017-10-01	6647655
2017-11-01	6657644
2017-12-01	6668107
2018-01-01	6677646
2018-02-01	6685286
2018-03-01	6691504
2018-04-01	6697648
2018-05-01	6704652
2018-06-01	6713393
2018-07-01	6723061
2018-08-01	6732681
2018-09-01	6740357
2018-10-01	6745321
2018-11-01	6748732
2018-12-01	6752963
2019-01-01	6760778
2019-02-01	6772331
2019-03-01	6787926
2019-04-01	6806303
2019-05-01	6825312
2019-06-01	6841526
2019-07-01	6851886
2019-08-01	6856321
2019-09-01	6856604
2019-10-01	6855034
2019-11-01	6853737
2019-12-01	6855366
2020-01-01	6860696
2020-02-01	6869568
2020-03-01	6880515
2020-04-01	6694700
2020-05-01	6628199
2020-06-01	6767940
2020-07-01	6789034
2020-08-01	6811028
2020-09-01	6831471
2020-10-01	6848569
2020-11-01	6860723
2020-12-01	6867717
2021-01-01	6870385
2021-02-01	6870336
2021-03-01	6868070
2021-04-01	6862692
2021-05-01	6853389
2021-06-01	6841573
2021-07-01	6831930
2021-08-01	6828601
2021-09-01	6833750
