date	value
1986-04-01	3825
1986-05-01	3424
1986-06-01	3921
1986-07-01	3294
1986-08-01	2865
1986-09-01	3201
1986-10-01	3860
1986-11-01	3677
1986-12-01	1067
1987-01-01	1559
1987-02-01	2566
1987-03-01	5079
1987-04-01	5597
1987-05-01	5296
1987-06-01	5979
1987-07-01	4443
1987-08-01	4692
1987-09-01	4109
1987-10-01	4181
1987-11-01	4015
1987-12-01	1809
1988-01-01	1573
1988-02-01	2439
1988-03-01	3840
1988-04-01	3578
1988-05-01	3994
1988-06-01	4288
1988-07-01	4332
1988-08-01	3824
1988-09-01	4567
1988-10-01	3708
1988-11-01	3044
1988-12-01	1449
1989-01-01	2478
1989-02-01	2532
1989-03-01	6054
1989-04-01	4913
1989-05-01	4068
1989-06-01	3601
1989-07-01	3999
1989-08-01	3659
1989-09-01	2646
1989-10-01	2852
1989-11-01	3334
1989-12-01	1073
1990-01-01	1203
1990-02-01	3150
1990-03-01	3931
1990-04-01	3392
1990-05-01	3458
1990-06-01	3820
1990-07-01	3042
1990-08-01	3156
1990-09-01	2963
1990-10-01	3228
1990-11-01	3093
1990-12-01	1330
1991-01-01	1641
1991-02-01	2410
1991-03-01	4290
1991-04-01	4332
1991-05-01	5425
1991-06-01	4691
1991-07-01	4728
1991-08-01	6235
1991-09-01	5771
1991-10-01	5998
1991-11-01	6415
1991-12-01	2583
1992-01-01	3185
1992-02-01	4238
1992-03-01	6474
1992-04-01	5434
1992-05-01	4807
1992-06-01	5597
1992-07-01	4331
1992-08-01	4983
1992-09-01	4263
1992-10-01	4638
1992-11-01	5906
1992-12-01	2605
1993-01-01	2331
1993-02-01	3088
1993-03-01	5570
1993-04-01	5973
1993-05-01	5340
1993-06-01	6629
1993-07-01	4966
1993-08-01	6651
1993-09-01	5622
1993-10-01	5933
1993-11-01	5826
1993-12-01	2500
1994-01-01	2510
1994-02-01	3640
1994-03-01	5366
1994-04-01	4669
1994-05-01	5244
1994-06-01	5394
1994-07-01	5293
1994-08-01	6005
1994-09-01	4699
1994-10-01	5521
1994-11-01	5457
1994-12-01	1684
1995-01-01	2324
1995-02-01	3032
1995-03-01	4351
1995-04-01	4360
1995-05-01	3536
1995-06-01	3966
1995-07-01	3658
1995-08-01	5104
1995-09-01	3919
1995-10-01	5005
1995-11-01	3753
1995-12-01	2353
1996-01-01	2818
1996-02-01	3447
1996-03-01	4239
1996-04-01	4158
1996-05-01	4517
1996-06-01	3552
1996-07-01	3760
1996-08-01	3155
1996-09-01	3675
1996-10-01	3659
1996-11-01	3946
1996-12-01	2362
1997-01-01	1852
1997-02-01	2319
1997-03-01	4158
1997-04-01	4076
1997-05-01	4693
1997-06-01	5333
1997-07-01	4715
1997-08-01	4154
1997-09-01	4095
1997-10-01	3154
1997-11-01	2610
1997-12-01	2550
1998-01-01	1906
1998-02-01	3238
1998-03-01	4509
1998-04-01	4580
1998-05-01	5097
1998-06-01	5363
1998-07-01	4055
1998-08-01	4521
1998-09-01	4190
1998-10-01	3457
1998-11-01	4318
1998-12-01	2119
1999-01-01	2100
1999-02-01	3148
1999-03-01	3723
1999-04-01	2940
1999-05-01	3703
1999-06-01	4282
1999-07-01	3568
1999-08-01	4133
1999-09-01	4019
1999-10-01	3934
1999-11-01	3720
1999-12-01	1525
2000-01-01	3116
2000-02-01	4515
2000-03-01	4479
2000-04-01	5087
2000-05-01	4091
2000-06-01	3589
2000-07-01	4616
2000-08-01	4064
2000-09-01	3169
2000-10-01	3020
2000-11-01	2596
2000-12-01	1249
2001-01-01	1390
2001-02-01	2603
2001-03-01	4353
2001-04-01	2894
2001-05-01	2765
2001-06-01	2874
2001-07-01	3023
2001-08-01	3364
2001-09-01	3138
2001-10-01	2865
2001-11-01	2356
2001-12-01	1205
2002-01-01	2253
2002-02-01	2865
2002-03-01	4268
2002-04-01	3911
2002-05-01	3265
2002-06-01	4040
2002-07-01	3218
2002-08-01	3460
2002-09-01	2748
2002-10-01	3671
2002-11-01	2816
2002-12-01	1574
2003-01-01	2358
2003-02-01	2698
2003-03-01	2867
2003-04-01	3258
2003-05-01	4606
2003-06-01	4971
2003-07-01	4612
2003-08-01	4660
2003-09-01	4303
2003-10-01	4832
2003-11-01	3412
2003-12-01	1658
2004-01-01	1573
2004-02-01	3652
2004-03-01	3785
2004-04-01	4189
2004-05-01	4448
2004-06-01	5448
2004-07-01	4840
2004-08-01	5504
2004-09-01	4753
2004-10-01	5460
2004-11-01	4969
2004-12-01	4290
2005-01-01	4198
2005-02-01	5805
2005-03-01	5047
2005-04-01	6376
2005-05-01	6766
2005-06-01	7097
2005-07-01	6190
2005-08-01	5603
2005-09-01	5691
2005-10-01	5781
2005-11-01	3103
2005-12-01	2936
2006-01-01	3227
2006-02-01	4289
2006-03-01	5076
2006-04-01	5087
2006-05-01	4982
2006-06-01	3967
2006-07-01	4144
2006-08-01	4153
2006-09-01	3371
2006-10-01	2707
2006-11-01	3541
2006-12-01	2331
2007-01-01	3102
2007-02-01	4329
2007-03-01	4188
2007-04-01	4061
2007-05-01	5419
2007-06-01	4474
2007-07-01	3291
2007-08-01	3725
2007-09-01	4179
2007-10-01	4165
2007-11-01	2822
2007-12-01	2607
2008-01-01	3970
2008-02-01	3272
2008-03-01	5313
2008-04-01	6025
2008-05-01	4916
2008-06-01	5016
2008-07-01	5043
2008-08-01	4983
2008-09-01	4375
2008-10-01	4886
2008-11-01	3758
2008-12-01	2800
2009-01-01	4542
2009-02-01	4184
2009-03-01	7090
2009-04-01	5725
2009-05-01	6183
2009-06-01	6211
2009-07-01	5858
2009-08-01	6335
2009-09-01	4866
2009-10-01	4934
2009-11-01	4883
2009-12-01	3990
2010-01-01	3589
2010-02-01	4818
2010-03-01	6005
2010-04-01	4706
2010-05-01	4863
2010-06-01	4253
2010-07-01	5998
2010-08-01	5211
2010-09-01	5725
2010-10-01	5052
2010-11-01	5850
2010-12-01	3059
2011-01-01	2437
2011-02-01	4088
2011-03-01	5468
2011-04-01	5562
2011-05-01	5504
2011-06-01	5856
2011-07-01	5729
2011-08-01	5629
2011-09-01	6320
2011-10-01	5776
2011-11-01	4677
2011-12-01	3143
2012-01-01	4630
2012-02-01	4087
2012-03-01	5520
2012-04-01	5900
2012-05-01	5006
2012-06-01	6134
2012-07-01	4970
2012-08-01	4698
2012-09-01	4382
2012-10-01	4405
2012-11-01	4380
2012-12-01	1966
2013-01-01	2851
2013-02-01	5269
2013-03-01	6172
2013-04-01	6282
2013-05-01	5959
2013-06-01	5443
2013-07-01	6044
2013-08-01	3934
2013-09-01	5417
2013-10-01	5695
2013-11-01	4789
2013-12-01	3230
2014-01-01	3380
2014-02-01	5250
2014-03-01	4963
2014-04-01	4120
2014-05-01	3999
2014-06-01	3129
2014-07-01	3980
2014-08-01	3785
2014-09-01	4236
2014-10-01	5022
2014-11-01	3737
2014-12-01	2699
2015-01-01	3434
2015-02-01	4170
2015-03-01	4601
2015-04-01	4104
2015-05-01	4579
2015-06-01	3934
2015-07-01	4732
2015-08-01	4057
2015-09-01	4410
2015-10-01	3175
2015-11-01	3317
2015-12-01	2272
2016-01-01	3097
2016-02-01	3327
2016-03-01	3913
2016-04-01	4780
