date	value
1978-02-01	4.4351711
1978-03-01	3.7754152
1978-04-01	3.8173742
1978-05-01	3.8330085
1978-06-01	3.8214792
1978-07-01	2.8921323
1978-08-01	2.9828178
1978-09-01	1.9716599
1978-10-01	3.2289101
1978-11-01	3.2428402
1978-12-01	3.0969356
1979-01-01	3.9256351
1979-02-01	4.0400675
1979-03-01	4.689532
1979-04-01	5.0338404
1979-05-01	4.0741248
1979-06-01	4.4463772
1979-07-01	3.8959446
1979-08-01	5.3947753
1979-09-01	2.8848769
1979-10-01	4.4347993
1979-11-01	5.1114359
1979-12-01	4.3561934
1980-01-01	3.3301062
1980-02-01	3.94748
1980-03-01	4.6813646
1980-04-01	4.1772337
1980-05-01	4.4336347
1980-06-01	4.2834544
1980-07-01	2.7398676
1980-08-01	3.8908266
1980-09-01	4.5391315
1980-10-01	2.9099063
1980-11-01	3.8551931
1980-12-01	4.9456878
1981-01-01	5.8130577
1981-02-01	5.2673791
1981-03-01	4.0420141
1981-04-01	3.5306483
1981-05-01	4.18254
1981-06-01	3.1451818
1981-07-01	4.28826
1981-08-01	4.7809421
1981-09-01	5.1921345
1981-10-01	4.7901718
1981-11-01	5.9149404
1981-12-01	5.0479727
1982-01-01	6.4131934
1982-02-01	5.6797177
1982-03-01	5.4367269
1982-04-01	4.945968
1982-05-01	5.0589015
1982-06-01	5.2425442
1982-07-01	5.9523861
1982-08-01	4.4638328
1982-09-01	5.3015507
1982-10-01	6.3351358
1982-11-01	4.9299623
1982-12-01	6.951897
1983-01-01	4.8068684
1983-02-01	4.6525398
1983-03-01	4.6529475
1983-04-01	3.9267247
1983-05-01	5.2469863
1983-06-01	5.2909518
1983-07-01	6.7877924
1983-08-01	5.7709859
1983-09-01	6.7534074
1983-10-01	4.554253
1983-11-01	4.7229047
1983-12-01	4.452663
1984-01-01	3.6434313
1984-02-01	3.6057564
1984-03-01	2.7780741
1984-04-01	4.8233504
1984-05-01	4.4308111
1984-06-01	4.8476109
1984-07-01	4.9659724
1984-08-01	4.6304396
1984-09-01	3.5924714
1984-10-01	4.436235
1984-11-01	4.1527418
1984-12-01	3.1251911
1985-01-01	4.8800707
1985-02-01	3.1009605
1985-03-01	2.8957575
1985-04-01	4.0550262
1985-05-01	3.6156894
1985-06-01	3.3820209
1985-07-01	3.4399204
1985-08-01	4.4790694
1985-09-01	4.4414185
1985-10-01	4.3068117
1985-11-01	4.1849519
1985-12-01	5.061641
1986-01-01	4.0002425
1986-02-01	4.3871974
1986-03-01	5.3437184
1986-04-01	4.6788851
1986-05-01	4.2902121
1986-06-01	5.3975987
1986-07-01	4.2566801
1986-08-01	4.1992206
1986-09-01	3.9963763
1986-10-01	4.4028473
1986-11-01	4.1149299
1986-12-01	4.2915283
1987-01-01	3.6762556
1987-02-01	2.8637134
1987-03-01	3.7950481
1987-04-01	6.1528554
1987-05-01	5.2915272
1987-06-01	5.3975962
1987-07-01	4.5577374
1987-08-01	3.1695058
