date	value
1978-02-01	2.8887416
1978-03-01	2.6490311
1978-04-01	2.7821786
1978-05-01	2.9382865
1978-06-01	2.8799497
1978-07-01	2.6853701
1978-08-01	2.5051849
1978-09-01	2.5965306
1978-10-01	2.6928287
1978-11-01	2.6223469
1978-12-01	2.5204552
1979-01-01	2.5539295
1979-02-01	2.4464891
1979-03-01	2.378789
1979-04-01	2.6763471
1979-05-01	2.9197362
1979-06-01	2.5308618
1979-07-01	2.760401
1979-08-01	2.7253211
1979-09-01	2.8391039
1979-10-01	2.6922362
1979-11-01	2.9775151
1979-12-01	3.0204155
1980-01-01	2.6448196
1980-02-01	3.2412201
1980-03-01	3.4003824
1980-04-01	3.1056575
1980-05-01	2.6950612
1980-06-01	2.7925554
1980-07-01	2.8566633
1980-08-01	2.8605406
1980-09-01	2.9740903
1980-10-01	2.7737008
1980-11-01	2.5871078
1980-12-01	2.5257581
1981-01-01	2.6202293
1981-02-01	2.5366967
1981-03-01	2.5850565
1981-04-01	2.5622612
1981-05-01	2.8286114
1981-06-01	2.4855625
1981-07-01	2.7027798
1981-08-01	2.8581365
1981-09-01	2.5046348
1981-10-01	2.3988375
1981-11-01	2.5610983
1981-12-01	2.8554731
1982-01-01	3.1103934
1982-02-01	2.8838792
1982-03-01	2.677581
1982-04-01	2.4283301
1982-05-01	2.8485557
1982-06-01	3.2445544
1982-07-01	3.3546378
1982-08-01	3.4560332
1982-09-01	3.3809265
1982-10-01	3.9499197
1982-11-01	4.283917
1982-12-01	3.8686523
1983-01-01	3.6453886
1983-02-01	3.9158658
1983-03-01	3.9455405
1983-04-01	3.8463136
1983-05-01	4.0837542
1983-06-01	3.9012268
1983-07-01	3.7897725
1983-08-01	3.6778885
1983-09-01	3.8916983
1983-10-01	3.3246923
1983-11-01	3.5783226
1983-12-01	3.168562
1984-01-01	3.4315562
1984-02-01	3.3117945
1984-03-01	3.174632
1984-04-01	3.4620553
1984-05-01	3.2417463
1984-06-01	3.2159157
1984-07-01	3.0914758
1984-08-01	3.1758299
1984-09-01	3.260793
1984-10-01	3.3899625
1984-11-01	2.98824
1984-12-01	3.151026
1985-01-01	3.301666
1985-02-01	3.3608758
1985-03-01	3.1231772
1985-04-01	3.1928081
1985-05-01	3.1337257
1985-06-01	3.029536
1985-07-01	3.1354115
1985-08-01	3.1069022
1985-09-01	2.7451115
1985-10-01	2.804657
1985-11-01	2.7505247
1985-12-01	2.7503029
1986-01-01	2.8563693
1986-02-01	3.2297293
1986-03-01	3.3149429
1986-04-01	3.6146321
1986-05-01	3.3548159
1986-06-01	3.6512055
1986-07-01	3.6313668
1986-08-01	3.8310011
1986-09-01	3.6819161
1986-10-01	3.6994334
1986-11-01	3.855728
1986-12-01	3.709324
1987-01-01	3.5730019
1987-02-01	3.9732842
1987-03-01	4.0311749
1987-04-01	3.7973152
1987-05-01	4.0045789
1987-06-01	4.038471
1987-07-01	3.7306188
1987-08-01	3.9009645
1987-09-01	3.8439733
1987-10-01	4.0428441
1987-11-01	3.7274016
1987-12-01	3.8785663
1988-01-01	3.753453
1988-02-01	3.6037704
1988-03-01	3.4328822
1988-04-01	3.5975679
1988-05-01	2.894142
1988-06-01	3.4437404
1988-07-01	3.4247581
1988-08-01	3.2314986
1988-09-01	3.4724968
1988-10-01	3.5383822
1988-11-01	3.7039047
1988-12-01	3.6404474
1989-01-01	3.4482921
1989-02-01	3.4398798
1989-03-01	3.4033844
1989-04-01	3.4526188
1989-05-01	3.4897612
1989-06-01	3.1669096
1989-07-01	3.6633466
1989-08-01	3.4227497
1989-09-01	4.0089903
1989-10-01	3.6730401
1989-11-01	3.6138618
1989-12-01	3.7753708
1990-01-01	3.6636141
1990-02-01	3.9328534
1990-03-01	3.5697708
1990-04-01	3.6918035
1990-05-01	3.9445127
1990-06-01	3.978794
1990-07-01	4.2788644
1990-08-01	4.3955316
1990-09-01	4.4686224
1990-10-01	4.502841
1990-11-01	4.8499341
1990-12-01	5.0070004
1991-01-01	5.0715188
1991-02-01	5.2205878
1991-03-01	5.4022905
1991-04-01	5.6987975
1991-05-01	5.2554093
1991-06-01	5.8808967
1991-07-01	5.6395325
1991-08-01	5.5989816
1991-09-01	5.7384947
1991-10-01	5.6276329
1991-11-01	5.649905
1991-12-01	5.6232882
1992-01-01	6.1964715
1992-02-01	6.5737082
