date	value
1978-02-01	8.968146
1978-03-01	8.9736587
1978-04-01	8.9760326
1978-05-01	8.9861079
1978-06-01	9.0017028
1978-07-01	9.0140848
1978-08-01	9.016434
1978-09-01	9.0088114
1978-10-01	8.9931096
1978-11-01	8.983645
1978-12-01	8.9925447
1979-01-01	9.017649
1979-02-01	9.0515651
1979-03-01	9.0761833
1979-04-01	9.0771117
1979-05-01	9.0561699
1979-06-01	9.0177793
1979-07-01	8.9696542
1979-08-01	8.9294442
1979-09-01	8.9150189
1979-10-01	8.9258821
1979-11-01	8.9520043
1979-12-01	8.9785731
1980-01-01	9.0090881
1980-02-01	9.03958
1980-03-01	9.0663785
1980-04-01	9.0957285
1980-05-01	9.1278202
1980-06-01	9.1543749
1980-07-01	9.1616075
1980-08-01	9.143061
1980-09-01	9.0935827
1980-10-01	9.0250522
1980-11-01	8.9463829
1980-12-01	8.8565044
1981-01-01	8.7562553
1981-02-01	8.6600456
1981-03-01	8.5885008
1981-04-01	8.5429625
1981-05-01	8.5201714
1981-06-01	8.5205775
1981-07-01	8.546755
1981-08-01	8.589826
1981-09-01	8.6439072
1981-10-01	8.7125735
1981-11-01	8.7930068
1981-12-01	8.8918603
1982-01-01	9.0067736
1982-02-01	9.1272529
1982-03-01	9.2518483
1982-04-01	9.497742
1982-05-01	9.695363
1982-06-01	9.9751376
1982-07-01	10.365615
1982-08-01	10.8647957
1982-09-01	11.4367605
1982-10-01	12.0227266
1982-11-01	12.5634442
1982-12-01	13.031819
1983-01-01	13.4212211
1983-02-01	13.7488744
1983-03-01	14.0246227
1983-04-01	14.2484686
1983-05-01	14.4060381
1983-06-01	14.4725024
1983-07-01	14.4209469
1983-08-01	14.2535756
1983-09-01	14.0121633
1983-10-01	13.734394
1983-11-01	13.4712398
1983-12-01	13.2546746
1984-01-01	13.0952063
1984-02-01	12.9904008
1984-03-01	12.9136159
1984-04-01	12.8343918
1984-05-01	12.7345998
1984-06-01	12.624898
1984-07-01	12.5152247
1984-08-01	12.4184989
1984-09-01	12.3281601
1984-10-01	12.2488914
1984-11-01	12.177249
1984-12-01	12.1048622
1985-01-01	12.0322123
1985-02-01	11.9524051
1985-03-01	11.8720562
1985-04-01	11.7930679
1985-05-01	11.7070544
1985-06-01	11.6119767
1985-07-01	11.5112143
1985-08-01	11.4045918
1985-09-01	11.3036056
1985-10-01	11.2302201
1985-11-01	11.200229
1985-12-01	11.2178396
1986-01-01	11.2660188
1986-02-01	11.3273682
1986-03-01	11.3848879
1986-04-01	11.6284692
1986-05-01	11.6797545
1986-06-01	11.7430483
1986-07-01	11.83133
1986-08-01	11.9439994
1986-09-01	12.052011
1986-10-01	12.1285508
1986-11-01	12.1710514
1986-12-01	12.1869914
1987-01-01	12.1963535
1987-02-01	12.2065639
1987-03-01	12.2261184
1987-04-01	12.2557698
1987-05-01	12.285573
1987-06-01	12.303548
1987-07-01	12.2994212
1987-08-01	12.2667054
1987-09-01	12.2086694
1987-10-01	12.1213107
1987-11-01	12.0020017
1987-12-01	11.8616738
1988-01-01	11.7152915
1988-02-01	11.5758335
1988-03-01	11.4480529
1988-04-01	11.3235116
1988-05-01	11.2002143
1988-06-01	11.0630263
1988-07-01	10.9150638
1988-08-01	10.7783676
1988-09-01	10.6795537
1988-10-01	10.6245873
1988-11-01	10.5968566
1988-12-01	10.5684131
1989-01-01	10.5135746
1989-02-01	10.4197145
1989-03-01	10.2915502
1989-04-01	10.1595754
1989-05-01	10.055053
1989-06-01	9.9923584
1989-07-01	9.9649724
1989-08-01	9.9534813
1989-09-01	9.951207
1989-10-01	9.9621147
1989-11-01	9.9967609
1989-12-01	10.0579616
1990-01-01	10.1441385
1990-02-01	10.2629307
1990-03-01	10.4158929
1990-04-01	10.6059419
1990-05-01	10.8325921
1990-06-01	11.11027
1990-07-01	11.4423697
1990-08-01	11.8141593
1990-09-01	12.1977646
1990-10-01	12.5833832
1990-11-01	12.9721673
1990-12-01	13.3718321
1991-01-01	13.7870707
1991-02-01	14.4847971
1991-03-01	14.900971
1991-04-01	15.2805087
1991-05-01	15.5905206
1991-06-01	15.8178777
1991-07-01	15.9711885
1991-08-01	16.085966
1991-09-01	16.2048926
1991-10-01	16.3440299
1991-11-01	16.5032229
1991-12-01	16.6839048
1992-01-01	16.8792757
1992-02-01	17.0785558
1992-03-01	17.2669896
1992-04-01	17.4411514
1992-05-01	17.6073544
1992-06-01	17.7698022
1992-07-01	17.9205208
1992-08-01	18.0507563
1992-09-01	18.1455388
1992-10-01	18.1906435
1992-11-01	18.1862004
1992-12-01	18.1328852
1993-01-01	18.0542988
1993-02-01	17.975394
1993-03-01	17.9199422
1993-04-01	17.891507
1993-05-01	17.8842646
1993-06-01	17.8908331
1993-07-01	17.8957119
1993-08-01	17.8839741
1993-09-01	17.8415752
1993-10-01	17.7691987
1993-11-01	17.6666162
1993-12-01	17.5333495
1994-01-01	17.375415
1994-02-01	17.1966396
1994-03-01	17.0054305
1994-04-01	16.8100986
1994-05-01	16.6139596
1994-06-01	16.4152018
1994-07-01	16.2213087
1994-08-01	16.030601
1994-09-01	15.8517143
1994-10-01	15.694883
1994-11-01	15.5626597
1994-12-01	15.4615316
1995-01-01	15.3808033
1995-02-01	15.3097435
1995-03-01	15.2420626
1995-04-01	15.1767178
1995-05-01	15.1269826
1995-06-01	15.1084888
1995-07-01	15.1180242
1995-08-01	15.1499749
1995-09-01	15.1818608
1995-10-01	15.1928331
1995-11-01	15.1850759
1995-12-01	15.1646935
1996-01-01	15.1392482
1996-02-01	15.1203243
1996-03-01	15.1218221
1996-04-01	15.1443778
1996-05-01	15.1782675
1996-06-01	15.2131807
1996-07-01	15.2475942
1996-08-01	15.2745071
1996-09-01	15.2965664
1996-10-01	15.3261166
1996-11-01	15.3671863
1996-12-01	15.4249762
1997-01-01	15.4940852
1997-02-01	15.5632934
1997-03-01	15.6189555
1997-04-01	15.6447202
1997-05-01	15.6307207
1997-06-01	15.5697958
1997-07-01	15.4696464
1997-08-01	15.3507868
1997-09-01	15.2278215
1997-10-01	15.1064579
1997-11-01	14.9952649
1997-12-01	14.8950797
1998-01-01	14.813274
1998-02-01	14.7589141
1998-03-01	14.7328448
1998-04-01	14.7303043
1998-05-01	14.7406923
1998-06-01	14.7401993
1998-07-01	14.7101745
1998-08-01	14.6375966
1998-09-01	14.5224611
1998-10-01	14.3759048
1998-11-01	14.2174243
1998-12-01	14.073757
1999-01-01	13.9651857
1999-02-01	13.8934589
1999-03-01	13.8504516
1999-04-01	13.8115766
1999-05-01	13.7524118
1999-06-01	13.6624133
1999-07-01	13.552061
1999-08-01	13.4449998
1999-09-01	13.364185
1999-10-01	13.3122667
1999-11-01	13.2629827
1999-12-01	13.1901818
2000-01-01	13.0756007
2000-02-01	12.9129423
2000-03-01	12.7260648
2000-04-01	12.5463826
