date	value
1978-02-01	28606
1978-03-01	29672
1978-04-01	30584
1978-05-01	31399
1978-06-01	31990
1978-07-01	32179
1978-08-01	31872
1978-09-01	31324
1978-10-01	30976
1978-11-01	31097
1978-12-01	31694
1979-01-01	32508
1979-02-01	33194
1979-03-01	33516
1979-04-01	33431
1979-05-01	33087
1979-06-01	32808
1979-07-01	33009
1979-08-01	33935
1979-09-01	35421
1979-10-01	37085
1979-11-01	38530
1979-12-01	39519
1980-01-01	40061
1980-02-01	40420
1980-03-01	40867
1980-04-01	41718
1980-05-01	43092
1980-06-01	44691
1980-07-01	45964
1980-08-01	46477
1980-09-01	46110
1980-10-01	45106
1980-11-01	43921
1980-12-01	42997
1981-01-01	42536
1981-02-01	42426
1981-03-01	42314
1981-04-01	41961
1981-05-01	41308
1981-06-01	40601
1981-07-01	40274
1981-08-01	40578
1981-09-01	41499
1981-10-01	42851
1981-11-01	44291
1981-12-01	45486
1982-01-01	46249
1982-02-01	46474
1982-03-01	46265
1982-04-01	45765
1982-05-01	45281
1982-06-01	45181
1982-07-01	45748
1982-08-01	47052
1982-09-01	48816
1982-10-01	50561
1982-11-01	51884
1982-12-01	52701
1983-01-01	53221
1983-02-01	53928
1983-03-01	55236
1983-04-01	57019
1983-05-01	58907
1983-06-01	60228
1983-07-01	60441
1983-08-01	59359
1983-09-01	57408
1983-10-01	55224
1983-11-01	53341
1983-12-01	52214
1984-01-01	51974
1984-02-01	52493
1984-03-01	53478
1984-04-01	54511
1984-05-01	55218
1984-06-01	55481
1984-07-01	55327
1984-08-01	54853
1984-09-01	54111
1984-10-01	53209
1984-11-01	52330
1984-12-01	51532
1985-01-01	50711
1985-02-01	49845
1985-03-01	49099
1985-04-01	48745
1985-05-01	48872
1985-06-01	49355
1985-07-01	49955
1985-08-01	50483
1985-09-01	50677
1985-10-01	50545
1985-11-01	50253
1985-12-01	50027
1986-01-01	50092
1986-02-01	50536
1986-03-01	51046
1986-04-01	57152
1986-05-01	57153
1986-06-01	56920
1986-07-01	56750
1986-08-01	56947
1986-09-01	57643
1986-10-01	58658
1986-11-01	59510
1986-12-01	59964
1987-01-01	59897
1987-02-01	59455
1987-03-01	59170
1987-04-01	59556
1987-05-01	60622
1987-06-01	62200
1987-07-01	63842
1987-08-01	64957
1987-09-01	65332
1987-10-01	65031
1987-11-01	64505
1987-12-01	63963
1988-01-01	63575
1988-02-01	63436
1988-03-01	63307
1988-04-01	62936
1988-05-01	62282
1988-06-01	61429
1988-07-01	60643
1988-08-01	60238
1988-09-01	60580
1988-10-01	61614
1988-11-01	63114
1988-12-01	64562
1989-01-01	65576
1989-02-01	65765
1989-03-01	65202
1989-04-01	64408
1989-05-01	63874
1989-06-01	63774
1989-07-01	64237
1989-08-01	65161
1989-09-01	66140
1989-10-01	66885
1989-11-01	67243
1989-12-01	67173
1990-01-01	67002
1990-02-01	66900
1990-03-01	66954
1990-04-01	67240
1990-05-01	67834
1990-06-01	68825
1990-07-01	70196
1990-08-01	71879
1990-09-01	73685
1990-10-01	75512
1990-11-01	77412
1990-12-01	79552
1991-01-01	81768
1991-02-01	83877
1991-03-01	85813
1991-04-01	87480
1991-05-01	88725
1991-06-01	89592
1991-07-01	90089
1991-08-01	90562
1991-09-01	91540
1991-10-01	93220
1991-11-01	95242
1991-12-01	97466
1992-01-01	99852
1992-02-01	102355
1992-03-01	104809
1992-04-01	107103
1992-05-01	109324
1992-06-01	111336
1992-07-01	112859
1992-08-01	113658
1992-09-01	113732
1992-10-01	113431
1992-11-01	113100
1992-12-01	112911
1993-01-01	112744
1993-02-01	112731
1993-03-01	112840
1993-04-01	113093
1993-05-01	113562
1993-06-01	114366
1993-07-01	115288
1993-08-01	115849
1993-09-01	115804
1993-10-01	115062
1993-11-01	113898
1993-12-01	112819
1994-01-01	112265
1994-02-01	112354
1994-03-01	112903
1994-04-01	113536
1994-05-01	113845
1994-06-01	113842
1994-07-01	113669
1994-08-01	113483
1994-09-01	113437
1994-10-01	113631
1994-11-01	114073
1994-12-01	114621
1995-01-01	115153
1995-02-01	115669
1995-03-01	116148
1995-04-01	116525
1995-05-01	116674
1995-06-01	116293
1995-07-01	115411
1995-08-01	114390
1995-09-01	113330
1995-10-01	112514
1995-11-01	112258
1995-12-01	112444
1996-01-01	112927
1996-02-01	113583
1996-03-01	114147
1996-04-01	114363
1996-05-01	114069
1996-06-01	113295
1996-07-01	112190
1996-08-01	110780
1996-09-01	109274
1996-10-01	108144
1996-11-01	107845
1996-12-01	108815
1997-01-01	110807
1997-02-01	113334
1997-03-01	115949
1997-04-01	118067
1997-05-01	119436
1997-06-01	120259
1997-07-01	120641
1997-08-01	120917
1997-09-01	121218
1997-10-01	121088
1997-11-01	120071
1997-12-01	118154
1998-01-01	115710
1998-02-01	113296
1998-03-01	111709
1998-04-01	111548
1998-05-01	112666
1998-06-01	114383
1998-07-01	116231
1998-08-01	117760
1998-09-01	118758
1998-10-01	119266
1998-11-01	119365
1998-12-01	119195
1999-01-01	119219
1999-02-01	119406
1999-03-01	119359
1999-04-01	118619
1999-05-01	117180
1999-06-01	115282
1999-07-01	113276
1999-08-01	111509
1999-09-01	110311
1999-10-01	109695
1999-11-01	109345
1999-12-01	108550
2000-01-01	107045
2000-02-01	104898
2000-03-01	102834
2000-04-01	101319
2000-05-01	100552
2000-06-01	100541
2000-07-01	101546
2000-08-01	103527
2000-09-01	105905
2000-10-01	108299
2000-11-01	110416
2000-12-01	112116
2001-01-01	113248
2001-02-01	113987
2001-03-01	114640
2001-04-01	115461
2001-05-01	116606
2001-06-01	117610
2001-07-01	117906
2001-08-01	117442
2001-09-01	116761
2001-10-01	116321
2001-11-01	116432
2001-12-01	117324
2002-01-01	118747
2002-02-01	120336
2002-03-01	121515
2002-04-01	121891
2002-05-01	121277
2002-06-01	119844
2002-07-01	117705
2002-08-01	115019
2002-09-01	112253
2002-10-01	110079
2002-11-01	109159
2002-12-01	109513
2003-01-01	110655
2003-02-01	130993
2003-03-01	131974
2003-04-01	132491
2003-05-01	133065
2003-06-01	134397
2003-07-01	136888
2003-08-01	140350
2003-09-01	143813
2003-10-01	146200
2003-11-01	146934
2003-12-01	146145
2004-01-01	144567
2004-02-01	142989
2004-03-01	141988
2004-04-01	141709
2004-05-01	141850
2004-06-01	142107
2004-07-01	142279
2004-08-01	142369
2004-09-01	142466
2004-10-01	142616
2004-11-01	142762
2004-12-01	142856
2005-01-01	142914
2005-02-01	142952
2005-03-01	142959
2005-04-01	142844
2005-05-01	142393
2005-06-01	141503
2005-07-01	140175
2005-08-01	138614
2005-09-01	137059
2005-10-01	135624
2005-11-01	134253
2005-12-01	132827
2006-01-01	131355
2006-02-01	130050
2006-03-01	129286
2006-04-01	129285
2006-05-01	130020
2006-06-01	131133
2006-07-01	132155
2006-08-01	132607
2006-09-01	132513
2006-10-01	132289
2006-11-01	132405
2006-12-01	133327
2007-01-01	135168
2007-02-01	137390
2007-03-01	139220
2007-04-01	139966
2007-05-01	139413
2007-06-01	137764
2007-07-01	135560
2007-08-01	133410
2007-09-01	131632
2007-10-01	130032
2007-11-01	128404
2007-12-01	126453
