date	value
1988-09-01	8679
1988-12-01	7269
1989-03-01	10215
1989-06-01	9321
1989-09-01	11447
1989-12-01	9625
1990-03-01	11463
1990-06-01	9326
1990-09-01	10494
1990-12-01	8335
1991-03-01	9772
1991-06-01	7716
1991-09-01	8955
1991-12-01	5985
1992-03-01	7523
1992-06-01	5368
1992-09-01	7624
1992-12-01	5298
1993-03-01	7421
1993-06-01	4914
1993-09-01	7557
1993-12-01	4824
1994-03-01	7817
1994-06-01	6162
1994-09-01	9719
1994-12-01	6884
1995-03-01	11196
1995-06-01	6476
1995-09-01	11446
1995-12-01	7408
1996-03-01	11639
1996-06-01	6879
1996-09-01	11938
1996-12-01	6606
1997-03-01	11162
1997-06-01	7055
1997-09-01	11260
1997-12-01	8051
1998-03-01	10608
1998-06-01	6690
1998-09-01	12331
1998-12-01	6967
1999-03-01	11838
1999-06-01	7519
1999-09-01	14058
1999-12-01	7900
2000-03-01	14917
2000-06-01	9165
2000-09-01	16661
2000-12-01	8919
2001-03-01	15713
2001-06-01	9363
2001-09-01	14566
2001-12-01	7131
2002-03-01	14935
2002-06-01	8892
2002-09-01	17470
2002-12-01	9066
2003-03-01	17990
2003-06-01	9122
2003-09-01	18672
2003-12-01	8944
2004-03-01	20085
2004-06-01	10312
2004-09-01	23332
2004-12-01	13309
2005-03-01	24047
2005-06-01	13667
2005-09-01	27610
2005-12-01	14482
2006-03-01	28706
2006-06-01	17256
2006-09-01	36177
2006-12-01	20115
2007-03-01	37889
2007-06-01	22246
2007-09-01	42243
2007-12-01	24794
2008-03-01	42516
2008-06-01	27320
2008-09-01	46628
2008-12-01	21417
2009-03-01	37292
2009-06-01	20006
2009-09-01	35233
2009-12-01	18631
2010-03-01	35644
2010-06-01	23310
2010-09-01	45138
2010-12-01	25711
2011-03-01	42986
2011-06-01	26691
2011-09-01	46105
2011-12-01	24730
2012-03-01	41408
2012-06-01	19932
2012-09-01	41417
2012-12-01	20532
2013-03-01	37948
2013-06-01	21087
2013-09-01	42322
2013-12-01	23240
2014-03-01	42072
2014-06-01	18441
2014-09-01	44243
2014-12-01	19099
2015-03-01	42634
2015-06-01	17270
2015-09-01	46835
2015-12-01	20515
2016-03-01	42942
2016-06-01	19074
2016-09-01	46932
2016-12-01	22494
2017-03-01	50016
2017-06-01	23015
2017-09-01	54459
2017-12-01	25044
2018-03-01	55535
2018-06-01	27997
2018-09-01	60903
2018-12-01	29122
2019-03-01	62160
2019-06-01	29047
2019-09-01	61425
2019-12-01	27423
2020-03-01	57607
2020-06-01	22124
2020-09-01	48701
2020-12-01	19228
2021-03-01	50687
2021-06-01	27898
2021-09-01	72391
2021-12-01	37431
2022-03-01	76274
