date	value
1959-09-01	
1959-12-01	
1960-03-01	
1960-06-01	
1960-09-01	
1960-12-01	
1961-03-01	
1961-06-01	
1961-09-01	
1961-12-01	
1962-03-01	
1962-06-01	
1962-09-01	
1962-12-01	
1963-03-01	
1963-06-01	
1963-09-01	
1963-12-01	
1964-03-01	
1964-06-01	
1964-09-01	
1964-12-01	
1965-03-01	
1965-06-01	
1965-09-01	
1965-12-01	
1966-03-01	
1966-06-01	
1966-09-01	
1966-12-01	
1967-03-01	
1967-06-01	
1967-09-01	
1967-12-01	
1968-03-01	
1968-06-01	
1968-09-01	
1968-12-01	
1969-03-01	
1969-06-01	
1969-09-01	
1969-12-01	
1970-03-01	
1970-06-01	
1970-09-01	
1970-12-01	
1971-03-01	
1971-06-01	
1971-09-01	
1971-12-01	
1972-03-01	
1972-06-01	
1972-09-01	
1972-12-01	
1973-03-01	
1973-06-01	
1973-09-01	
1973-12-01	
1974-03-01	
1974-06-01	
1974-09-01	
1974-12-01	
1975-03-01	
1975-06-01	
1975-09-01	
1975-12-01	
1976-03-01	
1976-06-01	
1976-09-01	
1976-12-01	
1977-03-01	
1977-06-01	
1977-09-01	
1977-12-01	
1978-03-01	
1978-06-01	
1978-09-01	
1978-12-01	
1979-03-01	
1979-06-01	
1979-09-01	
1979-12-01	
1980-03-01	
1980-06-01	
1980-09-01	
1980-12-01	
1981-03-01	
1981-06-01	
1981-09-01	
1981-12-01	
1982-03-01	
1982-06-01	
1982-09-01	
1982-12-01	
1983-03-01	
1983-06-01	
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	33864
1985-12-01	34464
1986-03-01	33331
1986-06-01	33635
1986-09-01	33691
1986-12-01	33114
1987-03-01	32988
1987-06-01	32846
1987-09-01	33925
1987-12-01	34354
1988-03-01	34704
1988-06-01	34662
1988-09-01	35376
1988-12-01	36092
1989-03-01	36900
1989-06-01	37329
1989-09-01	37657
1989-12-01	37867
1990-03-01	38581
1990-06-01	38612
1990-09-01	38394
1990-12-01	37748
1991-03-01	37367
1991-06-01	37482
1991-09-01	38321
1991-12-01	38348
1992-03-01	39009
1992-06-01	39082
1992-09-01	39028
1992-12-01	39165
1993-03-01	39083
1993-06-01	39427
1993-09-01	39228
1993-12-01	40232
1994-03-01	40614
1994-06-01	41017
1994-09-01	41758
1994-12-01	42304
1995-03-01	43106
1995-06-01	43711
1995-09-01	43749
1995-12-01	44436
1996-03-01	44960
1996-06-01	45204
1996-09-01	45301
1996-12-01	45557
1997-03-01	46387
1997-06-01	47058
1997-09-01	47911
1997-12-01	48963
1998-03-01	48618
1998-06-01	49658
1998-09-01	50968
1998-12-01	51264
1999-03-01	52304
1999-06-01	52488
1999-09-01	53442
1999-12-01	54304
2000-03-01	54611
2000-06-01	55114
2000-09-01	55793
2000-12-01	56105
2001-03-01	56386
2001-06-01	56335
2001-09-01	56337
2001-12-01	56664
2002-03-01	57532
2002-06-01	58987
2002-09-01	60083
2002-12-01	60722
2003-03-01	61271
2003-06-01	61724
2003-09-01	63087
2003-12-01	65005
2004-03-01	66745
2004-06-01	66805
2004-09-01	67259
2004-12-01	68384
2005-03-01	68580
2005-06-01	69373
2005-09-01	70000
2005-12-01	69578
2006-03-01	70906
2006-06-01	72614
2006-09-01	74067
2006-12-01	74978
2007-03-01	77284
2007-06-01	78081
2007-09-01	80633
2007-12-01	81931
2008-03-01	81851
2008-06-01	79714
2008-09-01	78678
2008-12-01	77889
2009-03-01	77588
2009-06-01	79304
2009-09-01	79960
2009-12-01	82195
2010-03-01	82829
2010-06-01	85074
2010-09-01	86146
2010-12-01	87726
2011-03-01	87915
2011-06-01	89257
2011-09-01	90503
2011-12-01	91747
2012-03-01	93218
2012-06-01	93263
2012-09-01	93926
2012-12-01	93444
2013-03-01	93895
2013-06-01	93757
2013-09-01	94325
2013-12-01	94870
2014-03-01	95373
2014-06-01	95737
2014-09-01	97234
2014-12-01	97921
2015-03-01	98126
2015-06-01	98728
2015-09-01	99823
2015-12-01	100212
2016-03-01	101279
2016-06-01	101357
2016-09-01	102281
2016-12-01	102907
2017-03-01	102872
2017-06-01	103623
2017-09-01	104259
2017-12-01	106265
2018-03-01	106800
2018-06-01	107589
2018-09-01	107729
2018-12-01	107686
2019-03-01	107181
2019-06-01	107705
2019-09-01	107220
2019-12-01	107440
2020-03-01	102649
2020-06-01	78387
2020-09-01	89128
2020-12-01	98696
2021-03-01	101477
2021-06-01	103143
2021-09-01	91789
2021-12-01	105049
2022-03-01	109566
