date	value
2002-09-01	9459
2002-12-01	9389
2003-03-01	9174
2003-06-01	8915
2003-09-01	8682
2003-12-01	8352
2004-03-01	8084
2004-06-01	9850
2004-09-01	10264
2004-12-01	10836
2005-03-01	11017
2005-06-01	14456
2005-09-01	14560
2005-12-01	15497
2006-03-01	16985
2006-06-01	19030
2006-09-01	19420
2006-12-01	19255
2007-03-01	19072
2007-06-01	19076
2007-09-01	19366
2007-12-01	19417
2008-03-01	19246
2008-06-01	30293
2008-09-01	30493
2008-12-01	30664
2009-03-01	29952
2009-06-01	22697
2009-09-01	21498
2009-12-01	21443
2010-03-01	22383
2010-06-01	31268
2010-09-01	32403
2010-12-01	32979
2011-03-01	33883
2011-06-01	35120
2011-09-01	35582
2011-12-01	34600
2012-03-01	32617
2012-06-01	30702
2012-09-01	29343
2012-12-01	28820
2013-03-01	29423
2013-06-01	31172
2013-09-01	33081
2013-12-01	34272
2014-03-01	33976
2014-06-01	32068
2014-09-01	29528
2014-12-01	27395
2015-03-01	26160
2015-06-01	25499
2015-09-01	24807
2015-12-01	24028
2016-03-01	23708
2016-06-01	24330
2016-09-01	26228
2016-12-01	35011
2017-03-01	36218
2017-06-01	35980
2017-09-01	35605
2017-12-01	36216
2018-03-01	38223
2018-06-01	41189
2018-09-01	44266
2018-12-01	47034
2019-03-01	49317
2019-06-01	
2019-09-01	
2019-12-01	
2020-03-01	
2020-06-01	
2020-09-01	
2020-12-01	
2021-03-01	
2021-06-01	
2021-09-01	
2021-12-01	
2022-03-01	
