date	value
2002-09-01	1595
2002-12-01	1497
2003-03-01	1509
2003-06-01	1536
2003-09-01	1566
2003-12-01	1598
2004-03-01	1621
2004-06-01	1664
2004-09-01	1710
2004-12-01	1693
2005-03-01	1668
2005-06-01	1639
2005-09-01	1591
2005-12-01	1669
2006-03-01	1649
2006-06-01	1672
2006-09-01	1739
2006-12-01	1647
2007-03-01	1662
2007-06-01	1697
2007-09-01	1746
2007-12-01	1790
2008-03-01	1810
2008-06-01	1788
2008-09-01	1766
2008-12-01	1779
2009-03-01	1762
2009-06-01	1747
2009-09-01	1682
2009-12-01	1667
2010-03-01	1659
2010-06-01	1635
2010-09-01	1751
2010-12-01	1751
2011-03-01	1762
2011-06-01	1762
2011-09-01	1801
2011-12-01	1822
2012-03-01	1832
2012-06-01	1821
2012-09-01	1823
2012-12-01	1829
2013-03-01	1851
2013-06-01	1881
2013-09-01	1903
2013-12-01	1939
2014-03-01	1968
2014-06-01	1978
2014-09-01	2011
2014-12-01	2038
2015-03-01	2080
2015-06-01	2143
2015-09-01	2139
2015-12-01	2191
2016-03-01	2213
2016-06-01	2207
2016-09-01	2286
2016-12-01	2274
2017-03-01	2262
2017-06-01	2264
2017-09-01	2227
2017-12-01	2260
2018-03-01	2288
2018-06-01	2337
2018-09-01	2211
2018-12-01	2268
2019-03-01	2281
2019-06-01	2280
2019-09-01	2307
2019-12-01	2303
2020-03-01	2350
2020-06-01	2401
2020-09-01	2408
2020-12-01	2409
2021-03-01	2384
2021-06-01	2383
2021-09-01	2456
2021-12-01	2490
2022-03-01	2483
