date	value
2014-07-01	217886
2014-08-01	226320
2014-09-01	225993
2014-10-01	211878
2014-11-01	224503
2014-12-01	224795
2015-01-01	232886
2015-02-01	226738
2015-03-01	214883
2015-04-01	228919
2015-05-01	207834
2015-06-01	213857
2015-07-01	203778
2015-08-01	215373
2015-09-01	201183
2015-10-01	215961
2015-11-01	204223
2015-12-01	235615
2016-01-01	211729
2016-02-01	209296
2016-03-01	203169
2016-04-01	213589
2016-05-01	197243
2016-06-01	211608
2016-07-01	213917
2016-08-01	207232
2016-09-01	196425
2016-10-01	198340
2016-11-01	201938
2016-12-01	218003
2017-01-01	225940
2017-02-01	224381
2017-03-01	215595
2017-04-01	204942
2017-05-01	232900
2017-06-01	228134
2017-07-01	226081
2017-08-01	219185
2017-09-01	212120
2017-10-01	217631
2017-11-01	231169
2017-12-01	238986
2018-01-01	248668
2018-02-01	238423
2018-03-01	243697
2018-04-01	248827
2018-05-01	252800
2018-06-01	243982
2018-07-01	240203
2018-08-01	229365
2018-09-01	214718
2018-10-01	211191
2018-11-01	246899
2018-12-01	251271
2019-01-01	236126
2019-02-01	212727
2019-03-01	242609
2019-04-01	256472
2019-05-01	249489
2019-06-01	232635
2019-07-01	227087
2019-08-01	218241
2019-09-01	230870
2019-10-01	224909
2019-11-01	223108
2019-12-01	240726
2020-01-01	247847
2020-02-01	247742
2020-03-01	250735
2020-04-01	303594
2020-05-01	258549
2020-06-01	250157
2020-07-01	230317
2020-08-01	244060
2020-09-01	258189
2020-10-01	229926
2020-11-01	245073
2020-12-01	244169
2021-01-01	251476
2021-02-01	228856
2021-03-01	250115
2021-04-01	237838
2021-05-01	220890
2021-06-01	199064
2021-07-01	219253
2021-08-01	237813
2021-09-01	218902
2021-10-01	208891
2021-11-01	224392
2021-12-01	220243
2022-01-01	213097
2022-02-01	203830
2022-03-01	208367
2022-04-01	181119
2022-05-01	180587
